feed_uri,feed_group,selection_reason,provider_bucket,service_did,creator_did,display_name,description,content_mode,accepts_interaction,indexed_at,inclusion_count,slot_count,inclusion_rank,popularity_rank,snapshot_success_unauth,returned_items_unauth,snapshot_success_auth,returned_items_auth
at://did:plc:abv47bjgzjgoh3yrygwoi36x/app.bsky.feed.generator/aaagt6amuur5e,discovery_surfaced,starterpack_top_by_slot_count,skyfeed.me,did:web:skyfeed.me,did:plc:abv47bjgzjgoh3yrygwoi36x,Writing and Books,Casting a wide net to pick up as many writing and book related posts as possible by looking for writing related hashtags.,,,2025-08-18T01:38:18.505Z,10,10,5,66,1,20,,
at://did:plc:abv47bjgzjgoh3yrygwoi36x/app.bsky.feed.generator/aaai4f7awwzkc,discovery_surfaced,replacement_after_snapshot_failure,skyfeed.me,did:web:skyfeed.me,did:plc:abv47bjgzjgoh3yrygwoi36x,Writing Community,"Writing Community

Will collect posts with hashtag #writingcommunity, #writerscommunity, #writer(s)",,,2025-12-31T01:15:23.110Z,8,8,6,54,1,20,,
at://did:plc:geoqe3qls5mwezckxxsewys2/app.bsky.feed.generator/aaabrbjcg4hmk,discovery_surfaced,starterpack_top_by_slot_count,api.graze.social,did:web:api.graze.social,did:plc:geoqe3qls5mwezckxxsewys2,BookSky 💙📚 #booksky,A feed for anyone who likes reading and books. Share what you're reading with us by using 💙📚 or #booksky in your posts. More #booksky feeds 👉🏻 booksky.club/list,,1,2026-01-28T23:17:06.470Z,21,21,4,13,1,20,,
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.generator/bsky-team,discovery_surfaced,starterpack_top_by_slot_count,discover.bsky.app,did:web:discover.bsky.app,did:plc:z72i7hdynmk6r22z27h6tvur,Bluesky Team,Posts from members of the Bluesky Team,,,2023-05-19T23:19:20.545Z,145,145,2,19,1,14,,
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.generator/hot-classic,discovery_surfaced,starterpack_top_by_slot_count,discover.bsky.app,did:web:discover.bsky.app,did:plc:z72i7hdynmk6r22z27h6tvur,What's Hot Classic,The original What's Hot experience,,,2023-05-19T23:19:20.098Z,143,143,3,9,1,20,,
at://did:plc:op3f6prx72nqkv76u2sjfvd5/app.bsky.feed.generator/Film,less_known,provider_balanced_long_tail,api.graze.social,did:web:api.graze.social,did:plc:op3f6prx72nqkv76u2sjfvd5,Film ,,,1,2025-10-23T17:10:40.862Z,,,,,1,20,,
at://did:plc:pwgvh5ffgbi44ovj25koc45y/app.bsky.feed.generator/eesti-top,less_known,provider_balanced_long_tail,setec.ee,did:web:setec.ee,did:plc:pwgvh5ffgbi44ovj25koc45y,Eesti TOP,Viimase 24H kuulsusrikkamad postitused eestikeelsest Sinitaevast.,,,2025-05-02T09:48:57.283Z,,,,,1,4,,
at://did:plc:q6gjnaw2blty4crticxkmujt/app.bsky.feed.generator/cl-tqsp,less_known,provider_balanced_long_tail,feedsky.jazco.io,did:web:feedsky.jazco.io,did:plc:q6gjnaw2blty4crticxkmujt,Trans+Queer Shitposters,A feed of all posts from authors in the Trans + Queer Shitposters Cluster,,,2024-02-10T21:11:19.257Z,,,,32,1,3,,
at://did:plc:qrz3lhbyuxbeilrc6nekdqme/app.bsky.feed.generator/99634313,less_known,replacement_after_snapshot_failure,topics.bsky.app,did:web:topics.bsky.app,did:plc:qrz3lhbyuxbeilrc6nekdqme,Pritzker,,,,2025-02-20T03:43:01.258Z,,,,,0,0,,
at://did:plc:ryktbf35bnicnnn6tn3lzuho/app.bsky.feed.generator/cattraining,less_known,provider_balanced_long_tail,blueskyfeedcreator.com,did:web:blueskyfeedcreator.com,did:plc:ryktbf35bnicnnn6tn3lzuho,Cat Training,"This feed is for all aspects of training cats: leash training, communication buttons, tricks, and other behavior modification. If you want to make sure to appear in it, included hashtags are #cattraining, #trainingcats, and #talkingtocats.

BlueskyFeedCreator.com",,,2025-03-20T01:14:23.059Z,,,,,1,20,,
at://did:plc:jfhpnnst6flqway4eaeqzj2a/app.bsky.feed.generator/for-science,popular,top_popular_feed_generators,bs.bossett.io,did:web:bs.bossett.io,did:plc:jfhpnnst6flqway4eaeqzj2a,Science,"The Science Feed. A curated feed from Bluesky professional scientists,  science communicators, and science/nature photographer/artists. See https://l.bossett.io/vkeNf for more information! 🧪",,,2023-11-26T19:34:54.335Z,1,1,32,4,1,20,,
