level,feed_uri,provider_bucket,slot_count,share,metric_name,metric_value,population
feed,at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.generator/with-friends,discover.bsky.app,148,0.27306273,,,
feed,at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.generator/bsky-team,discover.bsky.app,145,0.26752768,,,
feed,at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.generator/hot-classic,discover.bsky.app,143,0.26383764,,,
feed,at://did:plc:geoqe3qls5mwezckxxsewys2/app.bsky.feed.generator/aaabrbjcg4hmk,api.graze.social,21,0.03874539,,,
feed,at://did:plc:abv47bjgzjgoh3yrygwoi36x/app.bsky.feed.generator/aaagt6amuur5e,skyfeed.me,10,0.01845018,,,
feed,at://did:plc:abv47bjgzjgoh3yrygwoi36x/app.bsky.feed.generator/aaai4f7awwzkc,skyfeed.me,8,0.01476015,,,
feed,at://did:plc:odqmsar3ikz5ubokya4sempk/app.bsky.feed.generator/aaabfn4o34jdi,api.graze.social,5,0.00922509,,,
feed,at://did:plc:q6gjnaw2blty4crticxkmujt/app.bsky.feed.generator/cv:cat,unknown,5,0.00922509,,,
feed,at://did:plc:5rw2on4i56btlcajojaxwcat/app.bsky.feed.generator/aaao6g552b33o,skyfeed.me,4,0.00738007,,,
feed,at://did:plc:y7crv2yh74s7qhmtx3mvbgv5/app.bsky.feed.generator/art-new,api.graze.social,4,0.00738007,,,
feed,at://did:plc:o4s55v3tsfph6whswxccpsia/app.bsky.feed.generator/aaaieye3ez2ws,skyfeed.me,3,0.00553506,,,
feed,at://did:plc:5evg2o47kepgquxi6ku4az4m/app.bsky.feed.generator/aaaih6wopc2da,skyfeed.me,2,0.00369004,,,
feed,at://did:plc:dvgliotey33vix3wlltybgkd/app.bsky.feed.generator/ukrainian-view,bsky.one,2,0.00369004,,,
feed,at://did:plc:ffkgesg3jsv2j7aagkzrtcvt/app.bsky.feed.generator/aaagllxbcbsje,blueskyfeedcreator.com,2,0.00369004,,,
feed,at://did:plc:q6gjnaw2blty4crticxkmujt/app.bsky.feed.generator/cv:dog,unknown,2,0.00369004,,,
feed,at://did:plc:vig5txmvxugry3h5x36mcva2/app.bsky.feed.generator/aaac76qrfism2,skyfeed.me,2,0.00369004,,,
feed,at://did:plc:2gx2noukxzwmj6dkxbmh3qt5/app.bsky.feed.generator/aaahcxau33dt4,skyfeed.me,1,0.00184502,,,
feed,at://did:plc:4frf5rejem4acajnat3nvp3i/app.bsky.feed.generator/aaab2w7qzvirw,unknown,1,0.00184502,,,
feed,at://did:plc:4jrld6fwpnwqehtce56qshzv/app.bsky.feed.generator/game-dev,api.graze.social,1,0.00184502,,,
feed,at://did:plc:4vjdrhro4bxoawbyjgixesij/app.bsky.feed.generator/aaadepeaxdboc,blueskyfeedcreator.com,1,0.00184502,,,
feed,at://did:plc:5ogcuyqdjfbnp7upl5ylvhms/app.bsky.feed.generator/aaag4fp3ik4ls,skyfeed.me,1,0.00184502,,,
feed,at://did:plc:64rbg6zoljfju3lb6ednvokb/app.bsky.feed.generator/aaakwm273mwum,skyfeed.me,1,0.00184502,,,
feed,at://did:plc:6qswqt6prj5ch3jwjyqedexs/app.bsky.feed.generator/aaafcf5orer4q,skyfeed.me,1,0.00184502,,,
feed,at://did:plc:bfuck3vwwacatltdmnilloym/app.bsky.feed.generator/mutuals-ad,feedgen-server-xdf8y.ondigitalocean.app,1,0.00184502,,,
feed,at://did:plc:bh5nvxcuy7nf356e2luizpxx/app.bsky.feed.generator/aaaay7hebu23w,skyfeed.me,1,0.00184502,,,
feed,at://did:plc:dvgliotey33vix3wlltybgkd/app.bsky.feed.generator/art,bsky.one,1,0.00184502,,,
feed,at://did:plc:dvgliotey33vix3wlltybgkd/app.bsky.feed.generator/newcomers,bsky.one,1,0.00184502,,,
feed,at://did:plc:dvgliotey33vix3wlltybgkd/app.bsky.feed.generator/threads,bsky.one,1,0.00184502,,,
feed,at://did:plc:fl67s5eg6pugdspdhnhqexww/app.bsky.feed.generator/iowa,api.graze.social,1,0.00184502,,,
feed,at://did:plc:geoqe3qls5mwezckxxsewys2/app.bsky.feed.generator/aaai43yetqshu,api.graze.social,1,0.00184502,,,
feed,at://did:plc:jdkvwye2lf4mingzk7qdebzc/app.bsky.feed.generator/art-clean,feed.furryli.st,1,0.00184502,,,
feed,at://did:plc:jfhpnnst6flqway4eaeqzj2a/app.bsky.feed.generator/for-science,bs.bossett.io,1,0.00184502,,,
feed,at://did:plc:kfzwlje6igopcdc76gejhpmj/app.bsky.feed.generator/aaambhmiazap2,skyfeed.me,1,0.00184502,,,
feed,at://did:plc:kkf4naxqmweop7dv4l2iqqf5/app.bsky.feed.generator/verified-news,api.graze.social,1,0.00184502,,,
feed,at://did:plc:kzh2ze4pntcg5jtcdoce6bjr/app.bsky.feed.generator/bluecrew,blueskyfeedcreator.com,1,0.00184502,,,
feed,at://did:plc:l32leysyum6sa6q2z77ha4da/app.bsky.feed.generator/aaamvjfwhxczs,skyfeed.me,1,0.00184502,,,
feed,at://did:plc:lyrmsmhhg7vzz4ghj44y5xzq/app.bsky.feed.generator/2e275eb3ed72,track.goodfeeds.co,1,0.00184502,,,
feed,at://did:plc:lyrmsmhhg7vzz4ghj44y5xzq/app.bsky.feed.generator/edcfac0b68f2,track.goodfeeds.co,1,0.00184502,,,
feed,at://did:plc:mtw7bfxqppedkursd6zlb537/app.bsky.feed.generator/spicyvrc,blueskyfeedcreator.com,1,0.00184502,,,
feed,at://did:plc:nmm26ltnxjx4oskwzdue4xvq/app.bsky.feed.generator/aaacoviie4ygo,blueskyfeedcreator.com,1,0.00184502,,,
feed,at://did:plc:odqmsar3ikz5ubokya4sempk/app.bsky.feed.generator/aaabhy3bowhbo,api.graze.social,1,0.00184502,,,
feed,at://did:plc:odqmsar3ikz5ubokya4sempk/app.bsky.feed.generator/aaahvpkfdo5qo,skyfeed.me,1,0.00184502,,,
feed,at://did:plc:opfdtdh53uoqo45r4v3y43eb/app.bsky.feed.generator/aaaivj4ygtc6c,skyfeed.me,1,0.00184502,,,
feed,at://did:plc:qja3ay4iwnowsyjgbn552kbu/app.bsky.feed.generator/aaapwao33ugzi,skyfeed.me,1,0.00184502,,,
feed,at://did:plc:tazrmeme4dzahimsykusrwrk/app.bsky.feed.generator/anime-en-new,bskyfeeds.anianimals.moe,1,0.00184502,,,
feed,at://did:plc:tenurhgjptubkk5zf5qhi3og/app.bsky.feed.generator/mutuals,skyfeed.xyz,1,0.00184502,,,
feed,at://did:plc:thklxkv36gnt7oesds423tl3/app.bsky.feed.generator/aaacfoh4arvky,skyfeed.me,1,0.00184502,,,
feed,at://did:plc:tihggv2lcgqpw5fu4ilri5cq/app.bsky.feed.generator/aaaahezwhk2wc,skyfeed.me,1,0.00184502,,,
feed,at://did:plc:vpkhqolt662uhesyj6nxm7ys/app.bsky.feed.generator/infreq,feeds.bluesky.day,1,0.00184502,,,
feed,at://did:plc:w4xbfzo7kqfes5zb7r6qv3rw/app.bsky.feed.generator/blacksky,bsky.rudyfraser.com,1,0.00184502,,,
feed,at://did:plc:ylm5bw5b3wspfxulgzzty65e/app.bsky.feed.generator/aaac7r6pj6bdq,skyfeed.me,1,0.00184502,,,
feed,at://did:plc:z42jlhnp575qnuzzruy7kfoq/app.bsky.feed.generator/aaafetekjdqjg,skyfeed.me,1,0.00184502,,,
provider,,discover.bsky.app,436,0.80442804,,,
provider,,skyfeed.me,43,0.07933579,,,
provider,,api.graze.social,35,0.06457565,,,
provider,,unknown,8,0.01476015,,,
provider,,blueskyfeedcreator.com,6,0.01107011,,,
provider,,bsky.one,5,0.00922509,,,
provider,,track.goodfeeds.co,2,0.00369004,,,
provider,,bs.bossett.io,1,0.00184502,,,
provider,,bsky.rudyfraser.com,1,0.00184502,,,
provider,,bskyfeeds.anianimals.moe,1,0.00184502,,,
provider,,feed.furryli.st,1,0.00184502,,,
provider,,feedgen-server-xdf8y.ondigitalocean.app,1,0.00184502,,,
provider,,feeds.bluesky.day,1,0.00184502,,,
provider,,skyfeed.xyz,1,0.00184502,,,
summary,,,,,hhi_feed,0.21830449,feed
summary,,,,,gini_feed,0.83366449,feed
summary,,,,,hhi_provider,0.65803162,provider
summary,,,,,gini_provider,0.85793358,provider
