paper_id,category,venue,year,title,doi,paper_url,pdf_url
P01,Decentralization & governance,ICWSM,2025,Bootstrapping Social Networks: Lessons from Bluesky Starter Packs,10.1609/icwsm.v19i1.35810,https://ojs.aaai.org/index.php/ICWSM/article/view/35810,
P02,Decentralization & governance,ICWSM,2024,Decentralised Moderation for Interoperable Social Networks: A Conversation-based Approach for Pleroma and the Fediverse,10.1609/icwsm.v18i1.31293,https://ojs.aaai.org/index.php/ICWSM/article/view/31293,
P03,Decentralization & governance,ICWSM,2024,The Effects of Group Sanctions on Participation and Toxicity: Quasi-experimental Evidence from the Fediverse,10.1609/icwsm.v18i1.31316,https://ojs.aaai.org/index.php/ICWSM/article/view/31316,https://ojs.aaai.org/index.php/ICWSM/article/view/31316/33476
P04,Decentralization & governance,ICWSM,2024,Exploring Platform Migration Patterns between Twitter and Mastodon: A User Behavior Study,10.1609/icwsm.v18i1.31348,https://ojs.aaai.org/index.php/ICWSM/article/view/31348,
P05,Decentralization & governance,WWW,2023,Will Admins Cope? Decentralized Moderation in the Fediverse,10.1145/3543507.3583487,https://dl.acm.org/doi/10.1145/3543507.3583487,https://arxiv.org/pdf/2302.05915.pdf
P06,Decentralization & governance,CSCW,2024,"Trouble in Paradise? Understanding Mastodon Admin's Motivations, Experiences, and Challenges Running Decentralised Social Media",10.1145/3687059,https://dl.acm.org/doi/10.1145/3687059,https://www.cs.ox.ac.uk/files/15025/Zhang_et_al_2024_Trouble_in_paradise.pdf
P07,Decentralization & governance,CSCW,2023,Mastodon Rules: Characterizing Formal Rules on Popular Mastodon Instances,10.1145/3584931.3606970,https://dl.acm.org/doi/10.1145/3584931.3606970,https://www.citizenscience.gov/wp-content/uploads/2023/10/MastodonRules-CSCW_23Companion.pdf
P08,Decentralization & governance,CSCW,2025,“A Blocklist is a Boundary”: Tensions between Community Protection and Mutual Aid on Federated Social Networks,10.1145/3710919,https://dl.acm.org/doi/10.1145/3710919,https://arxiv.org/pdf/2506.05522.pdf
P09,Decentralization & governance,ICWSM,2024,Watch Your Language: Investigating Content Moderation with Large Language Models,10.1609/icwsm.v18i1.31358,https://ojs.aaai.org/index.php/ICWSM/article/view/31358,
P10,Decentralization & governance,ICWSM,2024,Auditing Algorithmic Explanations of Social Media Feeds: A Case Study of TikTok Video Explanations,10.1609/icwsm.v18i1.31376,https://ojs.aaai.org/index.php/ICWSM/article/view/31376,https://ojs.aaai.org/index.php/ICWSM/article/download/31376/33535
P11,Responsible ranking & exposure,WWW,2021,User-oriented Fairness in Recommendation,10.1145/3442381.3449866,https://dl.acm.org/doi/10.1145/3442381.3449866,https://yongfeng.me/attach/liy-www2021.pdf
P12,Responsible ranking & exposure,KDD,2021,Model-Agnostic Counterfactual Reasoning for Eliminating Popularity Bias in Recommender System,10.1145/3447548.3467289,https://dl.acm.org/doi/10.1145/3447548.3467289,https://jiawei-chen.github.io/paper/kdd21-macr.pdf
P13,Responsible ranking & exposure,KDD,2021,Popularity Bias in Dynamic Recommendation,10.1145/3447548.3467376,https://dl.acm.org/doi/10.1145/3447548.3467376,https://people.engr.tamu.edu/caverlee/pubs/Ziwei_KDD_2021.pdf
P14,Responsible ranking & exposure,KDD,2022,Scalar is Not Enough: Vectorization-based Unbiased Learning to Rank,10.1145/3534678.3539468,https://dl.acm.org/doi/10.1145/3534678.3539468,https://arxiv.org/pdf/2206.01702.pdf
P15,Responsible ranking & exposure,WWW,2023,Learning with Exposure Constraints in Recommendation as a Service,10.1145/3543507.3583320,https://dl.acm.org/doi/10.1145/3543507.3583320,https://arxiv.org/pdf/2302.01377.pdf
P16,Responsible ranking & exposure,KDD,2023,Multi-Channel Integrated Recommendation with Exposure Constraints,10.1145/3580305.3599868,https://dl.acm.org/doi/10.1145/3580305.3599868,
