stage,key,error_type,http_status,error_message,when_utc,retry_count
hydrate_feed_generators.getFeedGenerators,at://did:plc:4frf5rejem4acajnat3nvp3i/app.bsky.feed.generator/aaab2w7qzvirw,missing_in_response,,feed not returned by getFeedGenerators,2026-02-06T00:17:52Z,0
hydrate_feed_generators.getFeedGenerators,at://did:plc:q6gjnaw2blty4crticxkmujt/app.bsky.feed.generator/cv:cat,missing_in_response,,feed not returned by getFeedGenerators,2026-02-06T00:17:53Z,0
hydrate_feed_generators.getFeedGenerators,at://did:plc:q6gjnaw2blty4crticxkmujt/app.bsky.feed.generator/cv:dog,missing_in_response,,feed not returned by getFeedGenerators,2026-02-06T00:17:53Z,0
snapshot.getFeed,at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.generator/with-friends|unauth,http_error,,exhausted retries: None,2026-02-06T00:19:40Z,0
snapshot.getFeed,at://did:plc:m2sjv3wncvsasdapla35hzwj/app.bsky.feed.generator/trend-links-24|unauth,http_error,,exhausted retries: None,2026-02-06T00:22:40Z,0
snapshot.getFeed,at://did:plc:tenurhgjptubkk5zf5qhi3og/app.bsky.feed.generator/mutuals|unauth,http_error,401,AuthRequiredError: You have to be logged in for this feed because it's personalized,2026-02-06T00:22:45Z,0
feed_panel.repair,popular,replaced_after_snapshot_failure,,removed=1 added=1 viewer_modes=unauth,2026-02-06T00:22:46Z,0
snapshot.getFeed,at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.generator/with-friends|unauth,http_error,,exhausted retries: None,2026-02-06T00:25:33Z,0
snapshot.getFeed,at://did:plc:m2sjv3wncvsasdapla35hzwj/app.bsky.feed.generator/trend-links-24|unauth,http_error,,exhausted retries: None,2026-02-06T00:31:01Z,0
hydrate_feed_generators.getFeedGenerators,at://did:plc:4frf5rejem4acajnat3nvp3i/app.bsky.feed.generator/aaab2w7qzvirw,missing_in_response,,feed not returned by getFeedGenerators,2026-02-06T00:31:40Z,0
hydrate_feed_generators.getFeedGenerators,at://did:plc:q6gjnaw2blty4crticxkmujt/app.bsky.feed.generator/cv:cat,missing_in_response,,feed not returned by getFeedGenerators,2026-02-06T00:31:40Z,0
hydrate_feed_generators.getFeedGenerators,at://did:plc:q6gjnaw2blty4crticxkmujt/app.bsky.feed.generator/cv:dog,missing_in_response,,feed not returned by getFeedGenerators,2026-02-06T00:31:40Z,0
snapshot.getFeed,at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.generator/with-friends|unauth,http_error,,exhausted retries: None,2026-02-06T00:34:25Z,0
snapshot.getFeed,at://did:plc:m2sjv3wncvsasdapla35hzwj/app.bsky.feed.generator/trend-links-24|unauth,http_error,,exhausted retries: None,2026-02-06T00:39:56Z,0
hydrate_feed_generators.getFeedGenerators,at://did:plc:4frf5rejem4acajnat3nvp3i/app.bsky.feed.generator/aaab2w7qzvirw,missing_in_response,,feed not returned by getFeedGenerators,2026-02-06T00:45:52Z,0
hydrate_feed_generators.getFeedGenerators,at://did:plc:q6gjnaw2blty4crticxkmujt/app.bsky.feed.generator/cv:cat,missing_in_response,,feed not returned by getFeedGenerators,2026-02-06T00:45:52Z,0
hydrate_feed_generators.getFeedGenerators,at://did:plc:q6gjnaw2blty4crticxkmujt/app.bsky.feed.generator/cv:dog,missing_in_response,,feed not returned by getFeedGenerators,2026-02-06T00:45:52Z,0
snapshot.getFeed,at://did:plc:qrz3lhbyuxbeilrc6nekdqme/app.bsky.feed.generator/99634313|unauth,http_error,400,InvalidRequest: InvalidRequest,2026-02-06T00:45:53Z,0
authors.getProfiles,did:plc:fegb32efnje3xabvzcstjot4,missing_profiles,,some requested authors were not returned in profiles response,2026-02-06T00:45:54Z,0
hydrate_feed_generators.getFeedGenerators,at://did:plc:4frf5rejem4acajnat3nvp3i/app.bsky.feed.generator/aaab2w7qzvirw,missing_in_response,,feed not returned by getFeedGenerators,2026-02-06T00:46:23Z,0
hydrate_feed_generators.getFeedGenerators,at://did:plc:q6gjnaw2blty4crticxkmujt/app.bsky.feed.generator/cv:cat,missing_in_response,,feed not returned by getFeedGenerators,2026-02-06T00:46:23Z,0
hydrate_feed_generators.getFeedGenerators,at://did:plc:q6gjnaw2blty4crticxkmujt/app.bsky.feed.generator/cv:dog,missing_in_response,,feed not returned by getFeedGenerators,2026-02-06T00:46:23Z,0
