feed_uri,feed_group,selection_reason,provider_bucket,service_did,creator_did,display_name,inclusion_count,popularity_rank
at://did:plc:abv47bjgzjgoh3yrygwoi36x/app.bsky.feed.generator/aaagt6amuur5e,discovery_surfaced,starterpack_top_by_slot_count,skyfeed.me,did:web:skyfeed.me,did:plc:abv47bjgzjgoh3yrygwoi36x,Writing and Books,10,
at://did:plc:abv47bjgzjgoh3yrygwoi36x/app.bsky.feed.generator/aaai4f7awwzkc,discovery_surfaced,replacement_after_snapshot_failure,skyfeed.me,did:web:skyfeed.me,did:plc:abv47bjgzjgoh3yrygwoi36x,Writing Community,8,54
at://did:plc:geoqe3qls5mwezckxxsewys2/app.bsky.feed.generator/aaabrbjcg4hmk,discovery_surfaced,starterpack_top_by_slot_count,api.graze.social,did:web:api.graze.social,did:plc:geoqe3qls5mwezckxxsewys2,BookSky 💙📚 #booksky,21,
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.generator/bsky-team,discovery_surfaced,starterpack_top_by_slot_count,discover.bsky.app,did:web:discover.bsky.app,did:plc:z72i7hdynmk6r22z27h6tvur,Bluesky Team,145,
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.generator/hot-classic,discovery_surfaced,starterpack_top_by_slot_count,discover.bsky.app,did:web:discover.bsky.app,did:plc:z72i7hdynmk6r22z27h6tvur,What's Hot Classic,143,
at://did:plc:op3f6prx72nqkv76u2sjfvd5/app.bsky.feed.generator/Film,less_known,provider_balanced_long_tail,api.graze.social,did:web:api.graze.social,did:plc:op3f6prx72nqkv76u2sjfvd5,Film ,,
at://did:plc:pwgvh5ffgbi44ovj25koc45y/app.bsky.feed.generator/eesti-top,less_known,provider_balanced_long_tail,setec.ee,did:web:setec.ee,did:plc:pwgvh5ffgbi44ovj25koc45y,Eesti TOP,,
at://did:plc:q6gjnaw2blty4crticxkmujt/app.bsky.feed.generator/cl-tqsp,less_known,provider_balanced_long_tail,feedsky.jazco.io,did:web:feedsky.jazco.io,did:plc:q6gjnaw2blty4crticxkmujt,Trans+Queer Shitposters,,
at://did:plc:qrz3lhbyuxbeilrc6nekdqme/app.bsky.feed.generator/99634313,less_known,replacement_after_snapshot_failure,topics.bsky.app,did:web:topics.bsky.app,did:plc:qrz3lhbyuxbeilrc6nekdqme,Pritzker,0,
at://did:plc:ryktbf35bnicnnn6tn3lzuho/app.bsky.feed.generator/cattraining,less_known,provider_balanced_long_tail,blueskyfeedcreator.com,did:web:blueskyfeedcreator.com,did:plc:ryktbf35bnicnnn6tn3lzuho,Cat Training,,
at://did:plc:jfhpnnst6flqway4eaeqzj2a/app.bsky.feed.generator/for-science,popular,top_popular_feed_generators,bs.bossett.io,did:web:bs.bossett.io,did:plc:jfhpnnst6flqway4eaeqzj2a,Science,,4
at://did:plc:kkf4naxqmweop7dv4l2iqqf5/app.bsky.feed.generator/verified-news,popular,top_popular_feed_generators,api.graze.social,did:web:api.graze.social,did:plc:kkf4naxqmweop7dv4l2iqqf5,📰 News,,6
at://did:plc:w4xbfzo7kqfes5zb7r6qv3rw/app.bsky.feed.generator/blacksky,popular,replacement_after_snapshot_failure,bsky.rudyfraser.com,did:web:bsky.rudyfraser.com,did:plc:w4xbfzo7kqfes5zb7r6qv3rw,Blacksky,,7
at://did:plc:y7crv2yh74s7qhmtx3mvbgv5/app.bsky.feed.generator/art-new,popular,top_popular_feed_generators,api.graze.social,did:web:api.graze.social,did:plc:y7crv2yh74s7qhmtx3mvbgv5,Artists: Trending,,5
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.generator/whats-hot,popular,top_popular_feed_generators,discover.bsky.app,did:web:discover.bsky.app,did:plc:z72i7hdynmk6r22z27h6tvur,Discover,,1
