feed_uri,feed_group,viewer_mode,collected_at_utc,requested_items,returned_items,pages_fetched,success,http_status,error_type,error_message_short
at://did:plc:abv47bjgzjgoh3yrygwoi36x/app.bsky.feed.generator/aaagt6amuur5e,discovery_surfaced,unauth,2026-02-06T00:17:53Z,20,20,1,1,200,,
at://did:plc:abv47bjgzjgoh3yrygwoi36x/app.bsky.feed.generator/aaai4f7awwzkc,discovery_surfaced,unauth,2026-02-06T00:45:52Z,20,20,1,1,200,,
at://did:plc:geoqe3qls5mwezckxxsewys2/app.bsky.feed.generator/aaabrbjcg4hmk,discovery_surfaced,unauth,2026-02-06T00:17:53Z,20,20,1,1,200,,
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.generator/bsky-team,discovery_surfaced,unauth,2026-02-06T00:17:54Z,20,14,2,1,200,,
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.generator/hot-classic,discovery_surfaced,unauth,2026-02-06T00:17:54Z,20,20,1,1,200,,
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.generator/with-friends,discovery_surfaced,unauth,2026-02-06T00:31:40Z,20,0,0,0,,http_error,exhausted retries: None
at://did:plc:m2sjv3wncvsasdapla35hzwj/app.bsky.feed.generator/trend-links-24,less_known,unauth,2026-02-06T00:34:25Z,20,0,0,0,,http_error,exhausted retries: None
at://did:plc:op3f6prx72nqkv76u2sjfvd5/app.bsky.feed.generator/Film,less_known,unauth,2026-02-06T00:22:40Z,20,20,1,1,200,,
at://did:plc:pwgvh5ffgbi44ovj25koc45y/app.bsky.feed.generator/eesti-top,less_known,unauth,2026-02-06T00:22:41Z,20,4,1,1,200,,
at://did:plc:q6gjnaw2blty4crticxkmujt/app.bsky.feed.generator/cl-tqsp,less_known,unauth,2026-02-06T00:22:42Z,20,3,1,1,200,,
at://did:plc:qrz3lhbyuxbeilrc6nekdqme/app.bsky.feed.generator/99634313,less_known,unauth,2026-02-06T00:45:53Z,20,0,0,0,400,http_error,InvalidRequest: InvalidRequest
at://did:plc:ryktbf35bnicnnn6tn3lzuho/app.bsky.feed.generator/cattraining,less_known,unauth,2026-02-06T00:22:42Z,20,20,1,1,200,,
at://did:plc:jfhpnnst6flqway4eaeqzj2a/app.bsky.feed.generator/for-science,popular,unauth,2026-02-06T00:22:43Z,20,20,1,1,200,,
at://did:plc:kkf4naxqmweop7dv4l2iqqf5/app.bsky.feed.generator/verified-news,popular,unauth,2026-02-06T00:22:44Z,20,20,1,1,200,,
at://did:plc:tenurhgjptubkk5zf5qhi3og/app.bsky.feed.generator/mutuals,popular,unauth,2026-02-06T00:22:44Z,20,0,0,0,401,http_error,AuthRequiredError: You have to be logged in for this feed because it's personalized
at://did:plc:w4xbfzo7kqfes5zb7r6qv3rw/app.bsky.feed.generator/blacksky,popular,unauth,2026-02-06T00:22:46Z,20,20,1,1,200,,
at://did:plc:y7crv2yh74s7qhmtx3mvbgv5/app.bsky.feed.generator/art-new,popular,unauth,2026-02-06T00:22:45Z,20,20,1,1,200,,
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.generator/whats-hot,popular,unauth,2026-02-06T00:22:45Z,20,20,1,1,200,,
