provider_bucket,hosted_feed_count_api,discovery_slot_count,hosting_share,discovery_share,leverage_ratio
api.graze.social,951,35,0.10951175,0.06457565,0.589669
api.zephy.social,21,0,0.00241824,0.00000000,0.000000
blue.mackuba.eu,23,0,0.00264855,0.00000000,0.000000
bluefacts.app,5,0,0.00057577,0.00000000,0.000000
bluesky-japanese-jazz-static-feed.pages.dev,1,0,0.00011515,0.00000000,0.000000
blueskyfeedcreator.com,74,6,0.00852142,0.01107011,1.299092
blueskyfeeds.cloud,5,0,0.00057577,0.00000000,0.000000
blueskyfeeds.com,15,0,0.00172731,0.00000000,0.000000
bs.bossett.io,1,1,0.00011515,0.00184502,16.022140
bsky-jetstream.ngrok.app,1,0,0.00011515,0.00000000,0.000000
bsky-lnks-production.up.railway.app,2,0,0.00023031,0.00000000,0.000000
bsky.blueberrybat.xyz,1,0,0.00011515,0.00000000,0.000000
bsky.one,5,5,0.00057577,0.00922509,16.022140
bsky.rudyfraser.com,1,1,0.00011515,0.00184502,16.022140
bsky.surf.social,25,0,0.00287886,0.00000000,0.000000
bskyfeeds.anianimals.moe,1,1,0.00011515,0.00184502,16.022140
darkfeed.averyrive.rs,1,0,0.00011515,0.00000000,0.000000
discover.bsky.app,7,436,0.00080608,0.80442804,997.950448
feed-all.astronomy.blue,1,0,0.00011515,0.00000000,0.000000
feed-generator-production.up.railway.app,14,0,0.00161216,0.00000000,0.000000
feed.atlas.the-unplug.com,1,0,0.00011515,0.00000000,0.000000
feed.bsky.ealmuina.xyz,1,0,0.00011515,0.00000000,0.000000
feed.furryli.st,2,1,0.00023031,0.00184502,8.011070
feed.skyblur.uk,2,0,0.00023031,0.00000000,0.000000
feedgen-server-xdf8y.ondigitalocean.app,1,1,0.00011515,0.00184502,16.022140
feeds-prod.dev.retr0.id,1,0,0.00011515,0.00000000,0.000000
feeds.alphasky.social,19,0,0.00218793,0.00000000,0.000000
feeds.bluesky.day,2,1,0.00023031,0.00184502,8.011070
feeds.goodfeeds.co,3,0,0.00034546,0.00000000,0.000000
feeds.img.cavx.net,4,0,0.00046062,0.00000000,0.000000
feeds.renrah.dev,1,0,0.00011515,0.00000000,0.000000
feeds.skyblue.social,1,0,0.00011515,0.00000000,0.000000
feedsky.jazco.io,1,0,0.00011515,0.00000000,0.000000
flicknow.xyz,2,0,0.00023031,0.00000000,0.000000
generator.robinfeed.com,1,0,0.00011515,0.00000000,0.000000
likes.jcsalterego.workers.dev,1,0,0.00011515,0.00000000,0.000000
linklonk.com,1,0,0.00011515,0.00000000,0.000000
myanimefeedbackfeed.onrender.com,2,0,0.00023031,0.00000000,0.000000
setec.ee,3,0,0.00034546,0.00000000,0.000000
skyfeed.me,2021,43,0.23272685,0.07933579,0.340897
skyfeed.xyz,3,1,0.00034546,0.00184502,5.340713
slate.caracal-economy.ts.net,1,0,0.00011515,0.00000000,0.000000
starrysky-proxy.usounds.work,1,0,0.00011515,0.00000000,0.000000
threadsandmore.skeetcentral.com,1,0,0.00011515,0.00000000,0.000000
topics.bsky.app,2923,0,0.33659604,0.00000000,0.000000
track.goodfeeds.co,2268,2,0.26116997,0.00369004,0.014129
ukri-bluesky-staging.services.ukri.org,12,0,0.00138185,0.00000000,0.000000
unknown,0,8,0.00000000,0.01476015,
www.bluefeed.app,250,0,0.02878858,0.00000000,0.000000
