starterpack_uri,slot_index,feed_uri
at://did:plc:32kt7lsk5pgcjkmtptu6sfyc/app.bsky.graph.starterpack/3lr2lbcjrd623,0,at://did:plc:y7crv2yh74s7qhmtx3mvbgv5/app.bsky.feed.generator/art-new
at://did:plc:b457xtdpepvts4asxy2jhs2q/app.bsky.graph.starterpack/3ldln2v2kdg2k,0,at://did:plc:kkf4naxqmweop7dv4l2iqqf5/app.bsky.feed.generator/verified-news
at://did:plc:e5y74ehsyym65lxx2s5xkmla/app.bsky.graph.starterpack/3ljlk4272z42a,0,at://did:plc:vig5txmvxugry3h5x36mcva2/app.bsky.feed.generator/aaac76qrfism2
at://did:plc:e5y74ehsyym65lxx2s5xkmla/app.bsky.graph.starterpack/3ljlk4272z42a,1,at://did:plc:fl67s5eg6pugdspdhnhqexww/app.bsky.feed.generator/iowa
at://did:plc:e5y74ehsyym65lxx2s5xkmla/app.bsky.graph.starterpack/3ljlk4272z42a,2,at://did:plc:qja3ay4iwnowsyjgbn552kbu/app.bsky.feed.generator/aaapwao33ugzi
at://did:plc:e5y74ehsyym65lxx2s5xkmla/app.bsky.graph.starterpack/3ljnxjuwkua2f,0,at://did:plc:4frf5rejem4acajnat3nvp3i/app.bsky.feed.generator/aaab2w7qzvirw
at://did:plc:e5y74ehsyym65lxx2s5xkmla/app.bsky.graph.starterpack/3ljnxjuwkua2f,1,at://did:plc:thklxkv36gnt7oesds423tl3/app.bsky.feed.generator/aaacfoh4arvky
at://did:plc:e5y74ehsyym65lxx2s5xkmla/app.bsky.graph.starterpack/3ljnxjuwkua2f,2,at://did:plc:opfdtdh53uoqo45r4v3y43eb/app.bsky.feed.generator/aaaivj4ygtc6c
at://did:plc:e5y74ehsyym65lxx2s5xkmla/app.bsky.graph.starterpack/3lk2uj3kjye2u,0,at://did:plc:vig5txmvxugry3h5x36mcva2/app.bsky.feed.generator/aaac76qrfism2
at://did:plc:k4ygxco5hestlipl4dfvlenl/app.bsky.graph.starterpack/3ljyhhk7zpc2y,0,at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.generator/with-friends
at://did:plc:k4ygxco5hestlipl4dfvlenl/app.bsky.graph.starterpack/3ljyhhk7zpc2y,1,at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.generator/bsky-team
