snapshot_id,feed_uri,feed_group,viewer_mode,collected_at_utc,provider_bucket,num_items,num_unique_authors,total_exposure_weight,gini_exposure,hhi_exposure,top10_share
at://did:plc:abv47bjgzjgoh3yrygwoi36x/app.bsky.feed.generator/aaagt6amuur5e|unauth|2026-02-06T00:17:53Z,at://did:plc:abv47bjgzjgoh3yrygwoi36x/app.bsky.feed.generator/aaagt6amuur5e,discovery_surfaced,unauth,2026-02-06T00:17:53Z,skyfeed.me,20,18,3.59773966,0.52001462,0.13410707,0.86254453
at://did:plc:abv47bjgzjgoh3yrygwoi36x/app.bsky.feed.generator/aaai4f7awwzkc|unauth|2026-02-06T00:45:52Z,at://did:plc:abv47bjgzjgoh3yrygwoi36x/app.bsky.feed.generator/aaai4f7awwzkc,discovery_surfaced,unauth,2026-02-06T00:45:52Z,skyfeed.me,20,15,3.59773966,0.44868160,0.13080182,0.89489244
at://did:plc:geoqe3qls5mwezckxxsewys2/app.bsky.feed.generator/aaabrbjcg4hmk|unauth|2026-02-06T00:17:53Z,at://did:plc:geoqe3qls5mwezckxxsewys2/app.bsky.feed.generator/aaabrbjcg4hmk,discovery_surfaced,unauth,2026-02-06T00:17:53Z,api.graze.social,20,19,3.59773966,0.48110032,0.12388362,0.82004038
at://did:plc:jfhpnnst6flqway4eaeqzj2a/app.bsky.feed.generator/for-science|unauth|2026-02-06T00:22:43Z,at://did:plc:jfhpnnst6flqway4eaeqzj2a/app.bsky.feed.generator/for-science,popular,unauth,2026-02-06T00:22:43Z,bs.bossett.io,20,19,3.59773966,0.50637873,0.12717842,0.83938184
at://did:plc:kkf4naxqmweop7dv4l2iqqf5/app.bsky.feed.generator/verified-news|unauth|2026-02-06T00:22:44Z,at://did:plc:kkf4naxqmweop7dv4l2iqqf5/app.bsky.feed.generator/verified-news,popular,unauth,2026-02-06T00:22:44Z,api.graze.social,20,20,3.59773966,0.49409541,0.12331555,0.81411345
at://did:plc:op3f6prx72nqkv76u2sjfvd5/app.bsky.feed.generator/Film|unauth|2026-02-06T00:22:40Z,at://did:plc:op3f6prx72nqkv76u2sjfvd5/app.bsky.feed.generator/Film,less_known,unauth,2026-02-06T00:22:40Z,api.graze.social,20,18,3.59773966,0.49911789,0.12802033,0.85865709
at://did:plc:pwgvh5ffgbi44ovj25koc45y/app.bsky.feed.generator/eesti-top|unauth|2026-02-06T00:22:41Z,at://did:plc:pwgvh5ffgbi44ovj25koc45y/app.bsky.feed.generator/eesti-top,less_known,unauth,2026-02-06T00:22:41Z,setec.ee,4,2,2.08333333,0.02000000,0.50080000,1.00000000
at://did:plc:q6gjnaw2blty4crticxkmujt/app.bsky.feed.generator/cl-tqsp|unauth|2026-02-06T00:22:42Z,at://did:plc:q6gjnaw2blty4crticxkmujt/app.bsky.feed.generator/cl-tqsp,less_known,unauth,2026-02-06T00:22:42Z,feedsky.jazco.io,3,1,1.83333333,0.00000000,1.00000000,1.00000000
at://did:plc:ryktbf35bnicnnn6tn3lzuho/app.bsky.feed.generator/cattraining|unauth|2026-02-06T00:22:42Z,at://did:plc:ryktbf35bnicnnn6tn3lzuho/app.bsky.feed.generator/cattraining,less_known,unauth,2026-02-06T00:22:42Z,blueskyfeedcreator.com,20,20,3.59773966,0.49409541,0.12331555,0.81411345
at://did:plc:w4xbfzo7kqfes5zb7r6qv3rw/app.bsky.feed.generator/blacksky|unauth|2026-02-06T00:22:46Z,at://did:plc:w4xbfzo7kqfes5zb7r6qv3rw/app.bsky.feed.generator/blacksky,popular,unauth,2026-02-06T00:22:46Z,bsky.rudyfraser.com,20,19,3.59773966,0.50669473,0.13520131,0.83549440
at://did:plc:y7crv2yh74s7qhmtx3mvbgv5/app.bsky.feed.generator/art-new|unauth|2026-02-06T00:22:45Z,at://did:plc:y7crv2yh74s7qhmtx3mvbgv5/app.bsky.feed.generator/art-new,popular,unauth,2026-02-06T00:22:45Z,api.graze.social,20,20,3.59773966,0.49409541,0.12331555,0.81411345
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.generator/bsky-team|unauth|2026-02-06T00:17:54Z,at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.generator/bsky-team,discovery_surfaced,unauth,2026-02-06T00:17:54Z,discover.bsky.app,14,3,3.25156233,0.43611471,0.54912252,1.00000000
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.generator/hot-classic|unauth|2026-02-06T00:17:54Z,at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.generator/hot-classic,discovery_surfaced,unauth,2026-02-06T00:17:54Z,discover.bsky.app,20,19,3.59773966,0.52055500,0.13619180,0.83938184
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.generator/whats-hot|unauth|2026-02-06T00:22:45Z,at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.generator/whats-hot,popular,unauth,2026-02-06T00:22:45Z,discover.bsky.app,20,20,3.59773966,0.49409541,0.12331555,0.81411345
