feed_group,follower_bucket,follower_p90,follower_p99,n_authors,exposure_weight_sum,exposure_share
discovery_surfaced,top1,79509,920532,2,2.87067100,0.16271320
discovery_surfaced,top10,79509,920532,10,2.18013376,0.12357269
discovery_surfaced,bottom90,79509,920532,60,12.53289267,0.71037992
discovery_surfaced,missing,79509,920532,1,0.05882353,0.00333419
less_known,top1,79509,920532,0,0.00000000,0.00000000
less_known,top10,79509,920532,0,0.00000000,0.00000000
less_known,bottom90,79509,920532,41,11.11214598,1.00000000
less_known,missing,79509,920532,0,0.00000000,0.00000000
popular,top1,79509,920532,1,0.06250000,0.00347440
popular,top10,79509,920532,9,1.45394328,0.08082537
popular,bottom90,79509,920532,87,16.47225501,0.91570022
popular,missing,79509,920532,0,0.00000000,0.00000000
