provider_bucket,hosted_feed_count_api,discovery_slot_count,hosting_share,discovery_share,leverage_ratio
api.graze.social,951,35,0.10951174573929065,0.06457564575645756,0.5896686727119637
api.zephy.social,21,0,0.002418240442192538,0.0,0.0
blue.mackuba.eu,23,0,0.0026485490557346843,0.0,0.0
bluefacts.app,5,0,0.0005757715338553662,0.0,0.0
bluesky-japanese-jazz-static-feed.pages.dev,1,0,0.00011515430677107324,0.0,0.0
blueskyfeedcreator.com,74,6,0.00852141870105942,0.01107011070110701,1.2990924503839631
blueskyfeeds.cloud,5,0,0.0005757715338553662,0.0,0.0
blueskyfeeds.com,15,0,0.0017273146015660986,0.0,0.0
bs.bossett.io,1,1,0.00011515430677107324,0.0018450184501845018,16.022140221402214
bsky-jetstream.ngrok.app,1,0,0.00011515430677107324,0.0,0.0
bsky-lnks-production.up.railway.app,2,0,0.00023030861354214648,0.0,0.0
bsky.blueberrybat.xyz,1,0,0.00011515430677107324,0.0,0.0
bsky.one,5,5,0.0005757715338553662,0.00922509225092251,16.022140221402214
bsky.rudyfraser.com,1,1,0.00011515430677107324,0.0018450184501845018,16.022140221402214
bsky.surf.social,25,0,0.002878857669276831,0.0,0.0
bskyfeeds.anianimals.moe,1,1,0.00011515430677107324,0.0018450184501845018,16.022140221402214
darkfeed.averyrive.rs,1,0,0.00011515430677107324,0.0,0.0
discover.bsky.app,7,436,0.0008060801473975126,0.8044280442804428,997.9504480759093
feed-all.astronomy.blue,1,0,0.00011515430677107324,0.0,0.0
feed-generator-production.up.railway.app,14,0,0.0016121602947950253,0.0,0.0
feed.atlas.the-unplug.com,1,0,0.00011515430677107324,0.0,0.0
feed.bsky.ealmuina.xyz,1,0,0.00011515430677107324,0.0,0.0
feed.furryli.st,2,1,0.00023030861354214648,0.0018450184501845018,8.011070110701107
feed.skyblur.uk,2,0,0.00023030861354214648,0.0,0.0
feedgen-server-xdf8y.ondigitalocean.app,1,1,0.00011515430677107324,0.0018450184501845018,16.022140221402214
feeds-prod.dev.retr0.id,1,0,0.00011515430677107324,0.0,0.0
feeds.alphasky.social,19,0,0.0021879318286503915,0.0,0.0
feeds.bluesky.day,2,1,0.00023030861354214648,0.0018450184501845018,8.011070110701107
feeds.goodfeeds.co,3,0,0.0003454629203132197,0.0,0.0
feeds.img.cavx.net,4,0,0.00046061722708429296,0.0,0.0
feeds.renrah.dev,1,0,0.00011515430677107324,0.0,0.0
feeds.skyblue.social,1,0,0.00011515430677107324,0.0,0.0
feedsky.jazco.io,1,0,0.00011515430677107324,0.0,0.0
flicknow.xyz,2,0,0.00023030861354214648,0.0,0.0
generator.robinfeed.com,1,0,0.00011515430677107324,0.0,0.0
likes.jcsalterego.workers.dev,1,0,0.00011515430677107324,0.0,0.0
linklonk.com,1,0,0.00011515430677107324,0.0,0.0
myanimefeedbackfeed.onrender.com,2,0,0.00023030861354214648,0.0,0.0
setec.ee,3,0,0.0003454629203132197,0.0,0.0
skyfeed.me,2021,43,0.232726853984339,0.07933579335793357,0.34089660045536624
skyfeed.xyz,3,1,0.0003454629203132197,0.0018450184501845018,5.340713407134071
slate.caracal-economy.ts.net,1,0,0.00011515430677107324,0.0,0.0
starrysky-proxy.usounds.work,1,0,0.00011515430677107324,0.0,0.0
threadsandmore.skeetcentral.com,1,0,0.00011515430677107324,0.0,0.0
topics.bsky.app,2923,0,0.33659603869184707,0.0,0.0
track.goodfeeds.co,2268,2,0.26116996775679413,0.0036900369003690036,0.014128871447444631
ukri-bluesky-staging.services.ukri.org,12,0,0.0013818516812528789,0.0,0.0
unknown,0,8,0.0,0.014760147601476014,
www.bluefeed.app,250,0,0.02878857669276831,0.0,0.0
