2026-03-03T21:20:10Z INFO bsky_collector_v2: out_base ok path=D:\BlueSky\data_v2_full mount=D:\
2026-03-03T21:20:10Z INFO bsky_collector_v2: job start subcommand=index-feed-generators dry_run=False resume=True
2026-03-03T21:20:11Z INFO bsky_collector_v2.job.index_feed_generators: feed generator index hosts relay_host=https://bsky.network records_host=https://bsky.social auth=yes
2026-03-03T21:20:52Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:qfqxbxhluay4kndoctzfvk56 err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:21:19Z INFO bsky_collector_v2.job.index_feed_generators: indexed repo=did:plc:y2mwng33lavsqhzagf2kplxi part=599 records=3 next_cursor=set
2026-03-03T21:21:53Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:ynufnjniqlxjiyia44ifvjlr err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:22:31Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:27s5smt26o7a3b3h3svvs3sc err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:23:04Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:2ksgf3hbhq6x2llvwfncvytt err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:23:37Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:3xtnolei4dqz5g4sijsfajmt err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:24:09Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:5tkdpxj7ceihhazzvdtz3p2j err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:24:42Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:6owhb5f5n437o4vhx2zjaaev err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:25:15Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:7qmwllpjdth2ajqokczivjce err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:25:48Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:c7w3s3ecqcv6vy4pq2w2iwby err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:26:21Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:cwlqma4sh5alsfqctbq4uoik err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:26:54Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:dudgclqiibaulmlueqbehe2r err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:27:26Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:dwmcd3sjii4bq32jv6bndecr err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:27:59Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:f7nu776awlo34msbswceaebi err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:28:32Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:irnyl36suagqa544cyhxtlgg err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:29:04Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:itexx4oq3pfkynferftk5iss err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:29:37Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:mpytkmmkffdczviraeptwgzt err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:30:10Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:n73ebi4ug7fr56gtjwoybyf3 err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:30:43Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:qfqxbxhluay4kndoctzfvk56 err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:31:16Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:ynufnjniqlxjiyia44ifvjlr err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:31:48Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:27s5smt26o7a3b3h3svvs3sc err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:32:21Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:2ksgf3hbhq6x2llvwfncvytt err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:32:54Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:3xtnolei4dqz5g4sijsfajmt err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:33:27Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:5tkdpxj7ceihhazzvdtz3p2j err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:33:59Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:6owhb5f5n437o4vhx2zjaaev err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:34:32Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:7qmwllpjdth2ajqokczivjce err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:35:05Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:c7w3s3ecqcv6vy4pq2w2iwby err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:35:38Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:cwlqma4sh5alsfqctbq4uoik err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:36:11Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:dudgclqiibaulmlueqbehe2r err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:36:43Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:dwmcd3sjii4bq32jv6bndecr err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:37:16Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:f7nu776awlo34msbswceaebi err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:37:49Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:irnyl36suagqa544cyhxtlgg err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:38:21Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:itexx4oq3pfkynferftk5iss err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:38:54Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:mpytkmmkffdczviraeptwgzt err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:39:27Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:n73ebi4ug7fr56gtjwoybyf3 err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:39:59Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:qfqxbxhluay4kndoctzfvk56 err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:40:32Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:ynufnjniqlxjiyia44ifvjlr err=HttpError('InternalServerError: Internal Server Error')
2026-03-03T21:40:33Z INFO bsky_collector_v2.job.index_feed_generators: enqueued repos page=1 mode=listRepos inserted=500 repos_returned=500 next_cursor=set
2026-03-03T21:40:34Z WARNING bsky_collector_v2.job.index_feed_generators: listRecords failed repo=did:plc:2fvltsxemha4zx5gqyeg7sxx err=HttpError('InvalidRequest: Could not find repo: did:plc:2fvltsxemha4zx5gqyeg7sxx')
