run_id,vantage_id,actor_scope,actor_did,subject_did,subject_handle,subject_display_name,subject_description,subject_avatar,subject_associated_json,subject_indexed_at,subject_created_at,subject_labels_json,subject_viewer_muted,subject_viewer_blocked_by,raw_json,captured_at_utc
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,post_author|relationship_counterparty|surface_author|thread_actor,did:plc:2235hceapp64cpjpqp5sm5g7,did:plc:twabxhjc2esphsk3urb4ppvs,johnsimpsonnews.bsky.social,John Simpson,"BBC lifer since 1966, international affairs editor since 1982.  Presenter of ‘Unspun World’ on BBC Two, BBC World & World Service. Two daughters, one son, six grandchildren, a loving wife, lots of books, and an Irish terrier.  Defender of the Oxford comma.",https://cdn.bsky.app/img/avatar/plain/did:plc:twabxhjc2esphsk3urb4ppvs/bafkreihyi6xv3mznf5pasjdus7e5e6yznaepcohvu7lilrkrlnxtorizpu,"{""activitySubscription"":{""allowSubscriptions"":""followers""},""chat"":{""allowIncoming"":""following""}}",2024-11-29T11:55:09.645Z,2024-08-18T12:20:21.587Z,[],,,"{""associated"":{""activitySubscription"":{""allowSubscriptions"":""followers""},""chat"":{""allowIncoming"":""following""}},""avatar"":""https://cdn.bsky.app/img/avatar/plain/did:plc:twabxhjc2esphsk3urb4ppvs/bafkreihyi6xv3mznf5pasjdus7e5e6yznaepcohvu7lilrkrlnxtorizpu"",""createdAt"":""2024-08-18T12:20:21.587Z"",""description"":""BBC lifer since 1966, international affairs editor since 1982.  Presenter of ‘Unspun World’ on BBC Two, BBC World & World Service. Two daughters, one son, six grandchildren, a loving wife, lots of books, and an Irish terrier.  Defender of the Oxford comma."",""did"":""did:plc:twabxhjc2esphsk3urb4ppvs"",""displayName"":""John Simpson"",""handle"":""johnsimpsonnews.bsky.social"",""indexedAt"":""2024-11-29T11:55:09.645Z"",""labels"":[]}",2026-04-03T08:24:27Z
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,post_author|relationship_counterparty|surface_author|thread_actor,did:plc:2235hceapp64cpjpqp5sm5g7,did:plc:cr5zcymdwn4ygdm7qk7jactt,aiannucci.bsky.social,Armando Iannucci,"Words and smiles.Partridge,Thick of It,Veep,Death of Stalin, Dr Strangelove on stage,Podcast #StrongMessageHere. https://www.bbc.co.uk/sounds/brand/m0024cp6?partner=uk.co.bbc&origin=share-mobile Patron of Child Poverty Action Group, @cpaguk.bsky.social.",https://cdn.bsky.app/img/avatar/plain/did:plc:cr5zcymdwn4ygdm7qk7jactt/bafkreibl7t4tgycpgxolfio42vnsdlgphj4n6by354x5axvglgxpqmxaoy,"{""activitySubscription"":{""allowSubscriptions"":""followers""},""chat"":{""allowIncoming"":""following""}}",2026-04-01T06:56:10.945Z,2023-11-18T09:41:42.784Z,[],,,"{""associated"":{""activitySubscription"":{""allowSubscriptions"":""followers""},""chat"":{""allowIncoming"":""following""}},""avatar"":""https://cdn.bsky.app/img/avatar/plain/did:plc:cr5zcymdwn4ygdm7qk7jactt/bafkreibl7t4tgycpgxolfio42vnsdlgphj4n6by354x5axvglgxpqmxaoy"",""createdAt"":""2023-11-18T09:41:42.784Z"",""description"":""Words and smiles.Partridge,Thick of It,Veep,Death of Stalin, Dr Strangelove on stage,Podcast #StrongMessageHere. https://www.bbc.co.uk/sounds/brand/m0024cp6?partner=uk.co.bbc&origin=share-mobile Patron of Child Poverty Action Group, @cpaguk.bsky.social."",""did"":""did:plc:cr5zcymdwn4ygdm7qk7jactt"",""displayName"":""Armando Iannucci"",""handle"":""aiannucci.bsky.social"",""indexedAt"":""2026-04-01T06:56:10.945Z"",""labels"":[],""verification"":{""trustedVerifierStatus"":""none"",""verifications"":[{""createdAt"":""2025-08-29T00:03:39.272Z"",""isValid"":true,""issuer"":""did:plc:z72i7hdynmk6r22z27h6tvur"",""uri"":""at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.graph.verification/3lxir2ksgbr24""}],""verifiedStatus"":""valid""}}",2026-04-03T08:24:27Z
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,post_author|relationship_counterparty|surface_author|thread_actor,did:plc:2235hceapp64cpjpqp5sm5g7,did:plc:aw5zoqicxil7zefqyvapcsl6,samanthaculp.bsky.social,Samantha Culp,Writer & filmmaker in LA after many years in greater China / Currently writing a book about the global landscapes of futures thought / newsletter: borderstudies.substack.com,https://cdn.bsky.app/img/avatar/plain/did:plc:aw5zoqicxil7zefqyvapcsl6/bafkreid26yzshjrotrlrvdnphg3smwiutaurlj5xjoylnu7hnfv6yqcfmy,"{""activitySubscription"":{""allowSubscriptions"":""followers""},""chat"":{""allowIncoming"":""following""}}",2024-12-03T18:43:12.948Z,2023-05-31T16:36:59.905Z,[],,,"{""associated"":{""activitySubscription"":{""allowSubscriptions"":""followers""},""chat"":{""allowIncoming"":""following""}},""avatar"":""https://cdn.bsky.app/img/avatar/plain/did:plc:aw5zoqicxil7zefqyvapcsl6/bafkreid26yzshjrotrlrvdnphg3smwiutaurlj5xjoylnu7hnfv6yqcfmy"",""createdAt"":""2023-05-31T16:36:59.905Z"",""description"":""Writer & filmmaker in LA after many years in greater China / Currently writing a book about the global landscapes of futures thought / newsletter: borderstudies.substack.com"",""did"":""did:plc:aw5zoqicxil7zefqyvapcsl6"",""displayName"":""Samantha Culp"",""handle"":""samanthaculp.bsky.social"",""indexedAt"":""2024-12-03T18:43:12.948Z"",""labels"":[]}",2026-04-03T08:24:27Z
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,post_author|relationship_counterparty|surface_author|thread_actor,did:plc:2235hceapp64cpjpqp5sm5g7,did:plc:csopkgyhkyee2la4lcqprb2k,lizkerr.bsky.social,Liz Kerr,"Writer—not journalist, not author, those win Bookers and go to jail—and movie crank. I fear I’m turning into my grandmother. The wine helps. 
www.kai-fong.com / zolimacitymag.com",https://cdn.bsky.app/img/avatar/plain/did:plc:csopkgyhkyee2la4lcqprb2k/bafkreigujnwwkd25iq6evroosmpwvcvm5jjrfi6rvzqvjdaiopmwmitobe,"{""activitySubscription"":{""allowSubscriptions"":""followers""}}",2024-12-01T08:38:37.645Z,2024-11-14T06:36:24.180Z,[],,,"{""associated"":{""activitySubscription"":{""allowSubscriptions"":""followers""}},""avatar"":""https://cdn.bsky.app/img/avatar/plain/did:plc:csopkgyhkyee2la4lcqprb2k/bafkreigujnwwkd25iq6evroosmpwvcvm5jjrfi6rvzqvjdaiopmwmitobe"",""createdAt"":""2024-11-14T06:36:24.180Z"",""description"":""Writer—not journalist, not author, those win Bookers and go to jail—and movie crank. I fear I’m turning into my grandmother. The wine helps. \nwww.kai-fong.com / zolimacitymag.com"",""did"":""did:plc:csopkgyhkyee2la4lcqprb2k"",""displayName"":""Liz Kerr"",""handle"":""lizkerr.bsky.social"",""indexedAt"":""2024-12-01T08:38:37.645Z"",""labels"":[]}",2026-04-03T08:24:27Z
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,post_author|relationship_counterparty|surface_author|thread_actor,did:plc:2235hceapp64cpjpqp5sm5g7,did:plc:2dxfjz7gh5zd36lnvmpphola,nehabhatia.bsky.social,Neha Bhatia👩🏻‍🏫,"Marie Skłodowska-Curie Yufe4 Postdoc Fellow in Film and Media Industries Studies at University of Antwerp | India’s Transnational Production Culture for Independent Cinema | Former UCalgary & JNU Researcher
Nehabhatia.net",https://cdn.bsky.app/img/avatar/plain/did:plc:2dxfjz7gh5zd36lnvmpphola/bafkreihsalr5rmhmn7a6e36tt4wfyr23wh2fb3aevz3osvguzsqyfc6lpe,"{""activitySubscription"":{""allowSubscriptions"":""followers""}}",2025-05-27T13:42:14.439Z,2025-01-08T15:51:04.943Z,[],,,"{""associated"":{""activitySubscription"":{""allowSubscriptions"":""followers""}},""avatar"":""https://cdn.bsky.app/img/avatar/plain/did:plc:2dxfjz7gh5zd36lnvmpphola/bafkreihsalr5rmhmn7a6e36tt4wfyr23wh2fb3aevz3osvguzsqyfc6lpe"",""createdAt"":""2025-01-08T15:51:04.943Z"",""description"":""Marie Skłodowska-Curie Yufe4 Postdoc Fellow in Film and Media Industries Studies at University of Antwerp | India’s Transnational Production Culture for Independent Cinema | Former UCalgary & JNU Researcher\nNehabhatia.net"",""did"":""did:plc:2dxfjz7gh5zd36lnvmpphola"",""displayName"":""Neha Bhatia👩🏻‍🏫"",""handle"":""nehabhatia.bsky.social"",""indexedAt"":""2025-05-27T13:42:14.439Z"",""labels"":[]}",2026-04-03T08:24:27Z
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,post_author|relationship_counterparty|surface_author|thread_actor,did:plc:2235hceapp64cpjpqp5sm5g7,did:plc:o5o5pbgn2246asqtgia6zeym,desyang.bsky.social,Des. Yang,♎️ 🐈 🎭 📽️ 📺 🎶 🛌 📚,https://cdn.bsky.app/img/avatar/plain/did:plc:o5o5pbgn2246asqtgia6zeym/bafkreibwc5sk3vdtsoglasteodpuladv3o7zpvsm3gheg33h5avldoqbti,"{""activitySubscription"":{""allowSubscriptions"":""followers""}}",2025-06-20T15:39:32.131Z,2025-01-21T09:43:49.244Z,"[{""cid"":""bafyreihq7pdl2zp32alk6cwnp5ns3ocwibfl5ragckevnvoff3n53xerjy"",""cts"":""2025-01-21T09:43:32.952Z"",""src"":""did:plc:o5o5pbgn2246asqtgia6zeym"",""uri"":""at://did:plc:o5o5pbgn2246asqtgia6zeym/app.bsky.actor.profile/self"",""val"":""!no-unauthenticated""}]",,,"{""associated"":{""activitySubscription"":{""allowSubscriptions"":""followers""}},""avatar"":""https://cdn.bsky.app/img/avatar/plain/did:plc:o5o5pbgn2246asqtgia6zeym/bafkreibwc5sk3vdtsoglasteodpuladv3o7zpvsm3gheg33h5avldoqbti"",""createdAt"":""2025-01-21T09:43:49.244Z"",""description"":""♎️ 🐈 🎭 📽️ 📺 🎶 🛌 📚"",""did"":""did:plc:o5o5pbgn2246asqtgia6zeym"",""displayName"":""Des. Yang"",""handle"":""desyang.bsky.social"",""indexedAt"":""2025-06-20T15:39:32.131Z"",""labels"":[{""cid"":""bafyreihq7pdl2zp32alk6cwnp5ns3ocwibfl5ragckevnvoff3n53xerjy"",""cts"":""2025-01-21T09:43:32.952Z"",""src"":""did:plc:o5o5pbgn2246asqtgia6zeym"",""uri"":""at://did:plc:o5o5pbgn2246asqtgia6zeym/app.bsky.actor.profile/self"",""val"":""!no-unauthenticated""}]}",2026-04-03T08:24:27Z
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,post_author|relationship_counterparty|surface_author|thread_actor,did:plc:2235hceapp64cpjpqp5sm5g7,did:plc:g23hjdh7xfy3ios5wzojjizq,sunnysidedoc.bsky.social,Sunny Side of the Doc,The International Marketplace and Community for Documentary.,https://cdn.bsky.app/img/avatar/plain/did:plc:g23hjdh7xfy3ios5wzojjizq/bafkreiaszawopx6uvycpmoyd2lh3zblfkeb7wjpxqirponpfditgqjr5ia,"{""activitySubscription"":{""allowSubscriptions"":""followers""}}",2025-11-25T10:24:40.825Z,2025-01-27T14:34:46.443Z,[],,,"{""associated"":{""activitySubscription"":{""allowSubscriptions"":""followers""}},""avatar"":""https://cdn.bsky.app/img/avatar/plain/did:plc:g23hjdh7xfy3ios5wzojjizq/bafkreiaszawopx6uvycpmoyd2lh3zblfkeb7wjpxqirponpfditgqjr5ia"",""createdAt"":""2025-01-27T14:34:46.443Z"",""description"":""The International Marketplace and Community for Documentary."",""did"":""did:plc:g23hjdh7xfy3ios5wzojjizq"",""displayName"":""Sunny Side of the Doc"",""handle"":""sunnysidedoc.bsky.social"",""indexedAt"":""2025-11-25T10:24:40.825Z"",""labels"":[]}",2026-04-03T08:24:27Z
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,post_author|relationship_counterparty|surface_author|thread_actor,did:plc:2235hceapp64cpjpqp5sm5g7,did:plc:yvq3voe6zws5zffl7omee3r3,valecordelli.bsky.social,Valentina Cordelli,"Visionario, Mediateca, FEFF - Udine",https://cdn.bsky.app/img/avatar/plain/did:plc:yvq3voe6zws5zffl7omee3r3/bafkreifdsso46tjaxl254yt4djsofgu73acngflcdfztq2zcvnq4hl7d7a,"{""activitySubscription"":{""allowSubscriptions"":""followers""}}",2025-03-30T16:28:50.293Z,2024-11-14T17:58:06.726Z,[],,,"{""associated"":{""activitySubscription"":{""allowSubscriptions"":""followers""}},""avatar"":""https://cdn.bsky.app/img/avatar/plain/did:plc:yvq3voe6zws5zffl7omee3r3/bafkreifdsso46tjaxl254yt4djsofgu73acngflcdfztq2zcvnq4hl7d7a"",""createdAt"":""2024-11-14T17:58:06.726Z"",""description"":""Visionario, Mediateca, FEFF - Udine"",""did"":""did:plc:yvq3voe6zws5zffl7omee3r3"",""displayName"":""Valentina Cordelli"",""handle"":""valecordelli.bsky.social"",""indexedAt"":""2025-03-30T16:28:50.293Z"",""labels"":[]}",2026-04-03T08:24:27Z
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,post_author|relationship_counterparty|surface_author|thread_actor,did:plc:2235hceapp64cpjpqp5sm5g7,did:plc:bbw6jnbtot7chtgdvrq4b7ww,lornatee.bsky.social,Lorna Tee,Film producer/ curator/ festival worker shuttling between Asia & Europe. #paperheart #barunsonena #mylab #AFAN #JAFFMarket,https://cdn.bsky.app/img/avatar/plain/did:plc:bbw6jnbtot7chtgdvrq4b7ww/bafkreiexysnujr44tzisgzbrcljwpprkwv4uvaa2gyy53srxm6logtdkjy,"{""activitySubscription"":{""allowSubscriptions"":""followers""}}",2025-01-31T15:14:36.046Z,2025-01-15T02:55:21.244Z,[],,,"{""associated"":{""activitySubscription"":{""allowSubscriptions"":""followers""}},""avatar"":""https://cdn.bsky.app/img/avatar/plain/did:plc:bbw6jnbtot7chtgdvrq4b7ww/bafkreiexysnujr44tzisgzbrcljwpprkwv4uvaa2gyy53srxm6logtdkjy"",""createdAt"":""2025-01-15T02:55:21.244Z"",""description"":""Film producer/ curator/ festival worker shuttling between Asia & Europe. #paperheart #barunsonena #mylab #AFAN #JAFFMarket"",""did"":""did:plc:bbw6jnbtot7chtgdvrq4b7ww"",""displayName"":""Lorna Tee"",""handle"":""lornatee.bsky.social"",""indexedAt"":""2025-01-31T15:14:36.046Z"",""labels"":[]}",2026-04-03T08:24:27Z
fa14dd6c4e7c4eb7b14198248b2561eb,unauth,post_author|relationship_counterparty|surface_author|thread_actor,did:plc:2235hceapp64cpjpqp5sm5g7,did:plc:xmxq4ugqe4kngakcs6zudsma,stefanocentini.bsky.social,,,https://cdn.bsky.app/img/avatar/plain/did:plc:xmxq4ugqe4kngakcs6zudsma/bafkreiftvtlljwxxrlkpmtfcpg65p5rsqk5ll7vjfeysbaexujlz7gbv5m,"{""activitySubscription"":{""allowSubscriptions"":""followers""}}",2025-02-15T09:02:31.645Z,2025-02-15T09:02:31.645Z,[],,,"{""associated"":{""activitySubscription"":{""allowSubscriptions"":""followers""}},""avatar"":""https://cdn.bsky.app/img/avatar/plain/did:plc:xmxq4ugqe4kngakcs6zudsma/bafkreiftvtlljwxxrlkpmtfcpg65p5rsqk5ll7vjfeysbaexujlz7gbv5m"",""createdAt"":""2025-02-15T09:02:31.645Z"",""did"":""did:plc:xmxq4ugqe4kngakcs6zudsma"",""displayName"":"""",""handle"":""stefanocentini.bsky.social"",""indexedAt"":""2025-02-15T09:02:31.645Z"",""labels"":[]}",2026-04-03T08:24:27Z
