cluster_text,cluster_posts,cluster_authors_n,cluster_total_weighted_exposure,post_uri,author,appearances,windows_seen,weighted_exposure,share_in_cluster
"cats are such graceful, majestic creatures",30,29,128.989501,at://did:plc:jisd4xvazujoqnbg3zwljgzq/app.bsky.feed.post/3mhf4rz2emc24,monicarooney.bsky.social,88,1,21.657785,0.167903
"cats are such graceful, majestic creatures",30,29,128.989501,at://did:plc:ndt2b5guc5kqmddydiwg5vrp/app.bsky.feed.post/3mhfenembe727,omegamom.bsky.social,74,1,21.514573,0.166793
"cats are such graceful, majestic creatures",30,29,128.989501,at://did:plc:nguwdpd2ba6m6zt4tgxwkmhy/app.bsky.feed.post/3mhfkederes2k,mrnotmoro.bsky.social,58,1,18.591167,0.144129
"cats are such graceful, majestic creatures",30,29,128.989501,at://did:plc:zdsfrnukjpuyiy2w35bei7ay/app.bsky.feed.post/3mheutiqh6c25,lsepper.bsky.social,80,1,17.081181,0.132423
"cats are such graceful, majestic creatures",30,29,128.989501,at://did:plc:vvxnmiedggov7wbc64dk5iq2/app.bsky.feed.post/3mhfb566oes27,ninnny.bsky.social,22,1,5.12349,0.03972
"cats are such graceful, majestic creatures",30,29,128.989501,at://did:plc:nrjvetkf4nsosk4vililozku/app.bsky.feed.post/3mhfbnoto4s2o,elakdawalla.bsky.social,16,1,4.780551,0.037062
"cats are such graceful, majestic creatures",30,29,128.989501,at://did:plc:a4nmlwegrxcucgs7o7vslo7v/app.bsky.feed.post/3mhfgurn2dk2x,dragpoeta.bsky.social,10,1,3.956877,0.030676
"cats are such graceful, majestic creatures",30,29,128.989501,at://did:plc:piebji6w656eyg6ezgtm67rn/app.bsky.feed.post/3mhfnwampqs2r,mariannefajstrup.bsky.social,10,1,3.675927,0.028498
"cats are such graceful, majestic creatures",30,29,128.989501,at://did:plc:cah2xwjpg6fe7bpkirl7ijyw/app.bsky.feed.post/3mhforblfjk2r,mamagaylor.bsky.social,13,1,2.757169,0.021375
"cats are such graceful, majestic creatures",30,29,128.989501,at://did:plc:qnkwwbfbt54ltwejyg4dtg37/app.bsky.feed.post/3mhfg2qeris27,koldsmed.eurosky.social,11,1,2.671337,0.02071
"cats are such graceful, majestic creatures",30,29,128.989501,at://did:plc:wb63u7mximrkemlzxnix7jus/app.bsky.feed.post/3mhferzjw3c2y,kennethjorgensen.eurosky.social,11,1,2.583942,0.020032
"cats are such graceful, majestic creatures",30,29,128.989501,at://did:plc:ztjzdvh4yqaei3hv6imj23by/app.bsky.feed.post/3mhfhy4oaxc2o,kirstinedk.eurosky.social,11,1,2.393003,0.018552
"cats are such graceful, majestic creatures",30,29,128.989501,at://did:plc:lckw7hywcin576ukcgqspqoa/app.bsky.feed.post/3mhf4fss7jc2h,shannaleehorvik.com,12,1,2.285255,0.017717
"cats are such graceful, majestic creatures",30,29,128.989501,at://did:plc:q4gdotnt2bld3kgkkvbstntl/app.bsky.feed.post/3mhfnmjyqnk2s,megthewriter.bsky.social,6,1,2.054656,0.015929
"cats are such graceful, majestic creatures",30,29,128.989501,at://did:plc:ijc7hzjylcv76q4ovu45ori6/app.bsky.feed.post/3mhfhldwwuk2z,lilachysteria.bsky.social,8,1,1.932913,0.014985
"cats are such graceful, majestic creatures",30,29,128.989501,at://did:plc:yii5ssm7wtcdhbvi4ssxeezs/app.bsky.feed.post/3mhfeczopuk2s,cozythoughts.bsky.social,4,1,1.657237,0.012848
"cats are such graceful, majestic creatures",30,29,128.989501,at://did:plc:c2epjoqwbuvrqtjrlaji2uao/app.bsky.feed.post/3mhfosnjnjk2f,willgoose.bsky.social,6,1,1.635132,0.012676
"cats are such graceful, majestic creatures",30,29,128.989501,at://did:plc:fuafth2zer4x6ghw76nhidll/app.bsky.feed.post/3mhfrq7c4r22m,phenakistoscopic.bsky.social,4,1,1.265051,0.009807
"cats are such graceful, majestic creatures",30,29,128.989501,at://did:plc:5b57qxqygb747r26jbp7far2/app.bsky.feed.post/3mhfs4oou5s2z,philipbak.bsky.social,6,1,1.235021,0.009575
"cats are such graceful, majestic creatures",30,29,128.989501,at://did:plc:yii5ssm7wtcdhbvi4ssxeezs/app.bsky.feed.post/3mhfcqs5ye22o,cozythoughts.bsky.social,5,1,1.226822,0.009511
"cats are such graceful, majestic creatures",30,29,128.989501,at://did:plc:wmxdqux6pxfnay27xau2uyzs/app.bsky.feed.post/3mhfb2v4acc2j,sistercity.bsky.social,5,1,1.121156,0.008692
"cats are such graceful, majestic creatures",30,29,128.989501,at://did:plc:ouxbieoqeak6h4zjqjdowqr5/app.bsky.feed.post/3mhfdhb73ek27,mishacopyninja.bsky.social,4,1,1.041453,0.008074
"cats are such graceful, majestic creatures",30,29,128.989501,at://did:plc:gvblcoq2r2spxyh5edqypt3v/app.bsky.feed.post/3mhfdfo2ahk2s,composeyrself.bsky.social,4,1,1.011647,0.007843
"cats are such graceful, majestic creatures",30,29,128.989501,at://did:plc:7sqmhxzfntw4uhuibzlbfk2v/app.bsky.feed.post/3mhfcys27s22d,beastmstrgeneral.bsky.social,5,1,1.002508,0.007772
"cats are such graceful, majestic creatures",30,29,128.989501,at://did:plc:lc2gudk6dfxuhyavh7lvxty7/app.bsky.feed.post/3mhfkqtwiek26,pfhave.bsky.social,4,1,0.965476,0.007485
"cats are such graceful, majestic creatures",30,29,128.989501,at://did:plc:5ahy7ucigncv5sjkndrdla7z/app.bsky.feed.post/3mhffdc4a2s22,calmerfuture.bsky.social,4,1,0.954046,0.007396
"cats are such graceful, majestic creatures",30,29,128.989501,at://did:plc:ja247m4etuaddmqepovupcfg/app.bsky.feed.post/3mhfsxzz6ac2v,lf279.bsky.social,4,1,0.938989,0.00728
"cats are such graceful, majestic creatures",30,29,128.989501,at://did:plc:w65dnbcbd2zh7zahfcoekr35/app.bsky.feed.post/3mhfsmsants2y,groancusack.bsky.social,4,1,0.815403,0.006321
"cats are such graceful, majestic creatures",30,29,128.989501,at://did:plc:javxfrgrgnh6xqts5llqsxmp/app.bsky.feed.post/3mhfehh2z7k25,carolinempagh.bsky.social,3,1,0.693396,0.005376
"cats are such graceful, majestic creatures",30,29,128.989501,at://did:plc:jdywmofbf257id5hjdg5o2nl/app.bsky.feed.post/3mhf2oq2pi222,danicahere.bsky.social,2,1,0.366339,0.00284
post a gif of who you wanted to be as a kid,25,25,49.182127,at://did:plc:pq2i44w42ujuvyex7pu3jtze/app.bsky.feed.post/3mhed6eoznk2z,gregwtravels.bsky.social,80,1,16.893203,0.343483
post a gif of who you wanted to be as a kid,25,25,49.182127,at://did:plc:r2bldrk4tu54ngnwclbnpv53/app.bsky.feed.post/3mhfc2rppss2u,nerdy70.bsky.social,45,1,11.097042,0.225632
post a gif of who you wanted to be as a kid,25,25,49.182127,at://did:plc:t2t3ndlvicozvov7emnsjqv7/app.bsky.feed.post/3mhf75mwrhc2t,reinamwilliams.bsky.social,33,1,6.721771,0.136671
post a gif of who you wanted to be as a kid,25,25,49.182127,at://did:plc:tbqqrnm2bgoimtmqlcxxbag7/app.bsky.feed.post/3mheschwl222n,inmara.sunspot.world,12,1,2.249237,0.045733
post a gif of who you wanted to be as a kid,25,25,49.182127,at://did:plc:24qmsfyl4bp5rtzif6itjjl2/app.bsky.feed.post/3mhf4qdizhk2k,jilanne.bsky.social,11,1,2.059748,0.04188
post a gif of who you wanted to be as a kid,25,25,49.182127,at://did:plc:z3ko7ts76ugm2hxhujs25fe3/app.bsky.feed.post/3mhfbmeom7c26,zach-rust.bsky.social,3,1,1.36058,0.027664
post a gif of who you wanted to be as a kid,25,25,49.182127,at://did:plc:upptkhfloujholkqytzxgw5h/app.bsky.feed.post/3mhfkh2ydak2s,vojdo.bsky.social,6,1,1.143308,0.023246
post a gif of who you wanted to be as a kid,25,25,49.182127,at://did:plc:6r3mptjtgbnjcz6pioq2hkxj/app.bsky.feed.post/3mhfi4m7dhs2p,julianj.blacksky.app,2,1,0.886853,0.018032
post a gif of who you wanted to be as a kid,25,25,49.182127,at://did:plc:rbznsnmhh5zgqth47mcagovo/app.bsky.feed.post/3mhfcauv4e22m,christopherxci.blacksky.app,2,1,0.671672,0.013657
post a gif of who you wanted to be as a kid,25,25,49.182127,at://did:plc:2jpnj466zl2fzd3raq4hw6ji/app.bsky.feed.post/3mhfcsuoxck2w,legoversum.bsky.social,3,1,0.635372,0.012919
post a gif of who you wanted to be as a kid,25,25,49.182127,at://did:plc:dm7z7ods6b57zlvqyamlkijo/app.bsky.feed.post/3mhfyhnbbhs2s,badkitty93.bsky.social,2,1,0.545681,0.011095
