cluster_rank,cluster_text,cluster_context_count,cluster_unique_posts,cluster_unique_authors,cluster_total_context_exposure,weighted_mean_gap_equal,weighted_mean_gap_timing_author_trajectory,max_gap_timing_author_trajectory,mean_riskset_size,max_riskset_size,mean_shown_count,mean_zero_share,max_zero_share,worst_context_id,worst_context_gap_timing_author_trajectory,worst_context_total_y,worst_context_riskset_size,worst_context_shown_count,worst_context_viewer_mode,worst_context_bucket,worst_context_feed_uri,worst_context_window_start_utc,worst_context_window_end_utc,sample_rank,post_uri,post_url,author_did,author_handle,record_created_at,indexed_at,first_seen_captured_at_utc,first_seen_feed_uri,first_seen_bucket,raw_text,total_exposure,shown_context_count,context_count,first_monitored_delay_minutes,mean_age_hours,min_age_hours,max_age_hours
1,#aew,5,3,2,2.012287,0.375384,0.592435,0.973222,2.4,3,1.4,0.4,0.666667,2564,0.973222,0.270238,3,1,unauth,popular_by_likecount,at://did:plc:5kk6tru4mdazgfmgyflvz3k2/app.bsky.feed.generator/top-aew,2026-03-19T18:30:00Z,2026-03-19T18:40:00Z,1,at://did:plc:a7mhmylwlhhckf6u44rjfpcv/app.bsky.feed.post/3mhgecfrpps27,https://bsky.app/profile/did:plc:a7mhmylwlhhckf6u44rjfpcv/post/3mhgecfrpps27,did:plc:a7mhmylwlhhckf6u44rjfpcv,askarnes.bsky.social,2026-03-19T15:53:10.626Z,2026-03-19T15:53:13.557Z,2026-03-19T15:54:50Z,at://did:plc:5kk6tru4mdazgfmgyflvz3k2/app.bsky.feed.generator/aew,popular_by_likecount,#AEW,1.434883,5,5,7.7074,2.613715,1.947048,3.947048
1,#aew,5,3,2,2.012287,0.375384,0.592435,0.973222,2.4,3,1.4,0.4,0.666667,2564,0.973222,0.270238,3,1,unauth,popular_by_likecount,at://did:plc:5kk6tru4mdazgfmgyflvz3k2/app.bsky.feed.generator/top-aew,2026-03-19T18:30:00Z,2026-03-19T18:40:00Z,2,at://did:plc:idzrpvspdl4zcwfm5s7uj46r/app.bsky.feed.post/3mhgn7bvzls2j,https://bsky.app/profile/did:plc:idzrpvspdl4zcwfm5s7uj46r/post/3mhgn7bvzls2j,did:plc:idzrpvspdl4zcwfm5s7uj46r,rockthismike.bsky.social,2026-03-19T18:32:29.586Z,2026-03-19T18:32:32.357Z,2026-03-19T18:34:13Z,at://did:plc:5kk6tru4mdazgfmgyflvz3k2/app.bsky.feed.generator/aew,popular_by_likecount,#AEW,0.386853,1,2,1.6774,0.708448,0.125115,1.291782
1,#aew,5,3,2,2.012287,0.375384,0.592435,0.973222,2.4,3,1.4,0.4,0.666667,2564,0.973222,0.270238,3,1,unauth,popular_by_likecount,at://did:plc:5kk6tru4mdazgfmgyflvz3k2/app.bsky.feed.generator/top-aew,2026-03-19T18:30:00Z,2026-03-19T18:40:00Z,3,at://did:plc:idzrpvspdl4zcwfm5s7uj46r/app.bsky.feed.post/3mhgjlgckrk2j,https://bsky.app/profile/did:plc:idzrpvspdl4zcwfm5s7uj46r/post/3mhgjlgckrk2j,did:plc:idzrpvspdl4zcwfm5s7uj46r,rockthismike.bsky.social,2026-03-19T17:27:41.878Z,2026-03-19T17:27:42.664Z,2026-03-19T17:30:55Z,at://did:plc:5kk6tru4mdazgfmgyflvz3k2/app.bsky.feed.generator/aew,popular_by_likecount,#AEW,0.190551,1,5,17.3556,1.038367,0.371701,2.371701
2,"the bruv is back! will ospreay returned to action against blake christian, but immediately shifted gears to jon moxley + the death riders! watch the #aewdynamite replay right now on hbo max!",4,2,2,0.787318,0.5,0.547626,0.857493,2.0,2,1.0,0.5,0.5,1966,0.857493,0.182088,2,1,unauth,popular_by_likecount,at://did:plc:5kk6tru4mdazgfmgyflvz3k2/app.bsky.feed.generator/aew,2026-03-19T16:00:00Z,2026-03-19T16:10:00Z,1,at://did:plc:kgpryoo3cao2ktzvzzw2nary/app.bsky.feed.post/3mhgez3krdt2s,https://bsky.app/profile/did:plc:kgpryoo3cao2ktzvzzw2nary/post/3mhgez3krdt2s,did:plc:kgpryoo3cao2ktzvzzw2nary,aewbot.bsky.social,2026-03-19T16:05:51.369Z,2026-03-19T16:05:59.854Z,2026-03-19T16:12:07Z,at://did:plc:5kk6tru4mdazgfmgyflvz3k2/app.bsky.feed.generator/aew,popular_by_likecount,"The Bruv is BACK! Will Ospreay returned to action against Blake Christian, but immediately shifted gears to Jon Moxley + The Death Riders!

Watch the #AEWDynamite replay RIGHT NOW on HBO Max!",0.422061,2,4,19.1524,0.402397,0.069064,0.902397
2,"the bruv is back! will ospreay returned to action against blake christian, but immediately shifted gears to jon moxley + the death riders! watch the #aewdynamite replay right now on hbo max!",4,2,2,0.787318,0.5,0.547626,0.857493,2.0,2,1.0,0.5,0.5,1966,0.857493,0.182088,2,1,unauth,popular_by_likecount,at://did:plc:5kk6tru4mdazgfmgyflvz3k2/app.bsky.feed.generator/aew,2026-03-19T16:00:00Z,2026-03-19T16:10:00Z,2,at://did:plc:dsmuyt6h5emct7b42qkum5dv/app.bsky.feed.post/3mhgbm7jfww2e,https://bsky.app/profile/did:plc:dsmuyt6h5emct7b42qkum5dv/post/3mhgbm7jfww2e,did:plc:dsmuyt6h5emct7b42qkum5dv,allelitewrestling.com,2026-03-19T15:04:58.355Z,2026-03-19T15:05:05.876Z,2026-03-19T15:10:02Z,at://did:plc:5kk6tru4mdazgfmgyflvz3k2/app.bsky.feed.generator/wrestlesky,popular_by_likecount,"The Bruv is BACK! Will Ospreay returned to action against Blake Christian, but immediately shifted gears to Jon Moxley + The Death Riders!

Watch the #AEWDynamite replay RIGHT NOW on HBO Max!",0.365257,2,4,16.9521,1.417124,1.08379,1.917124
3,"a starlet snuffed out! who could have done this to ""timeless"" toni storm? watch the #aewdynamite replay right now on hbo max!",4,2,2,2.423116,0.310554,0.321013,0.574322,2.0,2,1.5,0.25,0.5,1481,0.574322,1.0,2,1,unauth,longtail_random,at://did:plc:yl45ewhpx75f74u33smrbdis/app.bsky.feed.generator/aaaeckzotdafa,2026-03-19T13:40:00Z,2026-03-19T13:50:00Z,1,at://did:plc:dsmuyt6h5emct7b42qkum5dv/app.bsky.feed.post/3mhg4dvp2ki2n,https://bsky.app/profile/did:plc:dsmuyt6h5emct7b42qkum5dv/post/3mhg4dvp2ki2n,did:plc:dsmuyt6h5emct7b42qkum5dv,allelitewrestling.com,2026-03-19T13:30:50.907Z,2026-03-19T13:30:51.556Z,2026-03-19T13:31:22Z,at://did:plc:yl45ewhpx75f74u33smrbdis/app.bsky.feed.generator/aaaeckzotdafa,longtail_random,"A starlet snuffed out! Who could have done this to ""Timeless"" Toni Storm?

Watch the #AEWDynamite replay RIGHT NOW on HBO Max!",1.459048,3,4,13.0407,0.652526,0.319193,1.319192
3,"a starlet snuffed out! who could have done this to ""timeless"" toni storm? watch the #aewdynamite replay right now on hbo max!",4,2,2,2.423116,0.310554,0.321013,0.574322,2.0,2,1.5,0.25,0.5,1481,0.574322,1.0,2,1,unauth,longtail_random,at://did:plc:yl45ewhpx75f74u33smrbdis/app.bsky.feed.generator/aaaeckzotdafa,2026-03-19T13:40:00Z,2026-03-19T13:50:00Z,2,at://did:plc:kgpryoo3cao2ktzvzzw2nary/app.bsky.feed.post/3mhg4vji6ez2c,https://bsky.app/profile/did:plc:kgpryoo3cao2ktzvzzw2nary/post/3mhg4vji6ez2c,did:plc:kgpryoo3cao2ktzvzzw2nary,aewbot.bsky.social,2026-03-19T13:40:42.092Z,2026-03-19T13:40:42.756Z,2026-03-19T13:41:07Z,at://did:plc:5kk6tru4mdazgfmgyflvz3k2/app.bsky.feed.generator/aew,popular_by_likecount,"A starlet snuffed out! Who could have done this to ""Timeless"" Toni Storm?

Watch the #AEWDynamite replay RIGHT NOW on HBO Max!",0.964068,3,4,4.7874,0.488308,0.154974,1.154974
4,"giallini operato, intervento riuscito. il dottore: ""l'ho già messo in piedi"" – adnkronos giallini operato, intervento riuscito. il dottore: “l’ho già messo in piedi” adnkronos incidente per marco giallini, ‘è stato operato,…",1,2,2,0.244651,0.5,0.299968,0.299968,2.0,2,1.0,0.5,0.5,1414,0.299968,0.244651,2,1,unauth,popular_by_likecount,at://did:plc:tg6c37kjztuwx2lzlrpdubkl/app.bsky.feed.generator/aaaepk55xbk6u,2026-03-19T12:30:00Z,2026-03-19T12:40:00Z,1,at://did:plc:ht6nj7wvu3y7ysrlwyc2iy5m/app.bsky.feed.post/3mhfyxytv772t,https://bsky.app/profile/did:plc:ht6nj7wvu3y7ysrlwyc2iy5m/post/3mhfyxytv772t,did:plc:ht6nj7wvu3y7ysrlwyc2iy5m,cronaca.bsky.social,2026-03-19T12:30:28+00:00,2026-03-19T12:30:30.754Z,2026-03-19T12:34:23Z,at://did:plc:tg6c37kjztuwx2lzlrpdubkl/app.bsky.feed.generator/aaaepk55xbk6u,popular_by_likecount,"Giallini operato, intervento riuscito. Il dottore: ""L'ho già messo in piedi"" – Adnkronos

https://www.europesays.com/it/403066/

Giallini operato, intervento riuscito. Il dottore: “L’ho già messo in piedi”  Adnkronos Incidente per Marco Giallini, ‘è stato operato,…",0.244651,1,1,5.2874,0.158889,0.158889,0.158889
4,"giallini operato, intervento riuscito. il dottore: ""l'ho già messo in piedi"" – adnkronos giallini operato, intervento riuscito. il dottore: “l’ho già messo in piedi” adnkronos incidente per marco giallini, ‘è stato operato,…",1,2,2,0.244651,0.5,0.299968,0.299968,2.0,2,1.0,0.5,0.5,1414,0.299968,0.244651,2,1,unauth,popular_by_likecount,at://did:plc:tg6c37kjztuwx2lzlrpdubkl/app.bsky.feed.generator/aaaepk55xbk6u,2026-03-19T12:30:00Z,2026-03-19T12:40:00Z,2,at://did:plc:pntjm44plexkgbvlrdg65lnl/app.bsky.feed.post/3mhfyfhpka226,https://bsky.app/profile/did:plc:pntjm44plexkgbvlrdg65lnl/post/3mhfyfhpka226,did:plc:pntjm44plexkgbvlrdg65lnl,intrattenimento.bsky.social,2026-03-19T12:20:05+00:00,2026-03-19T12:20:08.952Z,2026-03-19T12:22:52Z,at://did:plc:tg6c37kjztuwx2lzlrpdubkl/app.bsky.feed.generator/aaaepk55xbk6u,popular_by_likecount,"Giallini operato, intervento riuscito. Il dottore: ""L'ho già messo in piedi"" – Adnkronos

https://www.europesays.com/it/403066/

Giallini operato, intervento riuscito. Il dottore: “L’ho già messo in piedi”  Adnkronos Incidente per Marco Giallini, ‘è stato operato,…",0.0,0,1,2.7175,0.331944,0.331944,0.331944
5,"breakdown of kawhi's secret endorsement deal, wire transfers, uncle dennis name on paper work & more #nba #nbasky youtu.be/y2d0ds55ja0",4,2,2,1.114009,0.33353,0.283914,0.848542,2.0,2,1.25,0.375,0.5,9054,0.848542,0.184289,2,1,auth,popular_by_likecount,at://did:plc:tenurhgjptubkk5zf5qhi3og/app.bsky.feed.generator/h-nba,2026-03-21T03:30:00Z,2026-03-21T03:40:00Z,1,at://did:plc:4btwgxvf3esngow5xqwtoqx4/app.bsky.feed.post/3mhk3nom55h2i,https://bsky.app/profile/did:plc:4btwgxvf3esngow5xqwtoqx4/post/3mhk3nom55h2i,did:plc:4btwgxvf3esngow5xqwtoqx4,nbaskies.bsky.social,2026-03-21T03:29:04+00:00,2026-03-21T03:29:04.553Z,2026-03-21T03:35:23Z,at://did:plc:u45hqzk7counfbwyg5edhmvi/app.bsky.feed.generator/aaadvxju4txkk,popular_by_likecount,"Breakdown Of Kawhi's Secret Endorsement Deal, Wire Transfers, Uncle Dennis Name On Paper Work & More #nba #nbasky youtu.be/y2D0DS55ja0",0.744271,3,4,10.9408,0.432222,0.182222,0.682222
