cluster_rank,cluster_text,cluster_context_count,cluster_unique_posts,cluster_unique_authors,cluster_total_context_exposure,weighted_mean_gap_equal,weighted_mean_gap_timing_author_trajectory,max_gap_timing_author_trajectory,mean_riskset_size,max_riskset_size,mean_shown_count,mean_zero_share,max_zero_share,worst_context_id,worst_context_gap_timing_author_trajectory,worst_context_total_y,worst_context_riskset_size,worst_context_shown_count,worst_context_viewer_mode,worst_context_bucket,worst_context_feed_uri,worst_context_window_start_utc,worst_context_window_end_utc,sample_rank,post_uri,post_url,author_did,author_handle,record_created_at,indexed_at,first_seen_captured_at_utc,first_seen_feed_uri,first_seen_bucket,raw_text,total_exposure,shown_context_count,context_count,first_monitored_delay_minutes,mean_age_hours,min_age_hours,max_age_hours
1,"the bruv is back! will ospreay returned to action against blake christian, but immediately shifted gears to jon moxley + the death riders! watch the #aewdynamite replay right now on hbo max!",4,2,2,0.787318,0.5,0.558722,0.927836,2.0,2,1.0,0.5,0.5,2008,0.927836,0.182088,2,1,unauth,popular_by_likecount,at://did:plc:5kk6tru4mdazgfmgyflvz3k2/app.bsky.feed.generator/aew,2026-03-19T16:00:00Z,2026-03-19T16:10:00Z,1,at://did:plc:kgpryoo3cao2ktzvzzw2nary/app.bsky.feed.post/3mhgez3krdt2s,https://bsky.app/profile/did:plc:kgpryoo3cao2ktzvzzw2nary/post/3mhgez3krdt2s,did:plc:kgpryoo3cao2ktzvzzw2nary,aewbot.bsky.social,2026-03-19T16:05:51.369Z,2026-03-19T16:05:59.854Z,2026-03-19T16:12:07Z,at://did:plc:5kk6tru4mdazgfmgyflvz3k2/app.bsky.feed.generator/aew,popular_by_likecount,"The Bruv is BACK! Will Ospreay returned to action against Blake Christian, but immediately shifted gears to Jon Moxley + The Death Riders!

Watch the #AEWDynamite replay RIGHT NOW on HBO Max!",0.422061,2,4,19.1524,0.402397,0.069064,0.902397
1,"the bruv is back! will ospreay returned to action against blake christian, but immediately shifted gears to jon moxley + the death riders! watch the #aewdynamite replay right now on hbo max!",4,2,2,0.787318,0.5,0.558722,0.927836,2.0,2,1.0,0.5,0.5,2008,0.927836,0.182088,2,1,unauth,popular_by_likecount,at://did:plc:5kk6tru4mdazgfmgyflvz3k2/app.bsky.feed.generator/aew,2026-03-19T16:00:00Z,2026-03-19T16:10:00Z,2,at://did:plc:dsmuyt6h5emct7b42qkum5dv/app.bsky.feed.post/3mhgbm7jfww2e,https://bsky.app/profile/did:plc:dsmuyt6h5emct7b42qkum5dv/post/3mhgbm7jfww2e,did:plc:dsmuyt6h5emct7b42qkum5dv,allelitewrestling.com,2026-03-19T15:04:58.355Z,2026-03-19T15:05:05.876Z,2026-03-19T15:10:02Z,at://did:plc:5kk6tru4mdazgfmgyflvz3k2/app.bsky.feed.generator/wrestlesky,popular_by_likecount,"The Bruv is BACK! Will Ospreay returned to action against Blake Christian, but immediately shifted gears to Jon Moxley + The Death Riders!

Watch the #AEWDynamite replay RIGHT NOW on HBO Max!",0.365257,2,4,16.9521,1.417124,1.08379,1.917124
2,trump accidentally reveals what he really thinks of maga voters newrepublic.com/article/2078... via @newrepublic.com,2,3,3,0.501616,0.666667,0.525262,0.706724,3.0,3,1.0,0.666667,0.666667,19051,0.706724,0.270238,3,1,auth,popular_by_likecount,at://did:plc:7mtqkeetxgxqfyhyi2dnyga2/app.bsky.feed.generator/aaadhh6hwvaca,2026-03-22T14:40:00Z,2026-03-22T14:50:00Z,1,at://did:plc:isq34r6dgkjmnwoyop2gts5f/app.bsky.feed.post/3mhnrbea5wc2i,https://bsky.app/profile/did:plc:isq34r6dgkjmnwoyop2gts5f/post/3mhnrbea5wc2i,did:plc:isq34r6dgkjmnwoyop2gts5f,tiggergirl.bsky.social,2026-03-22T14:33:52.259Z,2026-03-22T14:33:59.269Z,2026-03-22T14:35:40Z,at://did:plc:7mtqkeetxgxqfyhyi2dnyga2/app.bsky.feed.generator/aaadhh6hwvaca,popular_by_likecount,Trump Accidentally Reveals What He Really Thinks of MAGA Voters newrepublic.com/article/2078... via @newrepublic.com,0.270238,1,2,6.2455,0.35215,0.268817,0.435484
2,trump accidentally reveals what he really thinks of maga voters newrepublic.com/article/2078... via @newrepublic.com,2,3,3,0.501616,0.666667,0.525262,0.706724,3.0,3,1.0,0.666667,0.666667,19051,0.706724,0.270238,3,1,auth,popular_by_likecount,at://did:plc:7mtqkeetxgxqfyhyi2dnyga2/app.bsky.feed.generator/aaadhh6hwvaca,2026-03-22T14:40:00Z,2026-03-22T14:50:00Z,2,at://did:plc:jxw4jdvjzcvue6ra4glergyx/app.bsky.feed.post/3mhnrwzbfsc24,https://bsky.app/profile/did:plc:jxw4jdvjzcvue6ra4glergyx/post/3mhnrwzbfsc24,did:plc:jxw4jdvjzcvue6ra4glergyx,johninthekeys.bsky.social,2026-03-22T14:45:58.965Z,2026-03-22T14:46:01.356Z,2026-03-22T14:51:19Z,at://did:plc:7mtqkeetxgxqfyhyi2dnyga2/app.bsky.feed.generator/aaadhh6hwvaca,popular_by_likecount,Trump Accidentally Reveals What He Really Thinks of MAGA Voters newrepublic.com/article/2078... via @newrepublic.com,0.231378,1,2,8.8107,0.150287,0.066954,0.233621
2,trump accidentally reveals what he really thinks of maga voters newrepublic.com/article/2078... via @newrepublic.com,2,3,3,0.501616,0.666667,0.525262,0.706724,3.0,3,1.0,0.666667,0.666667,19051,0.706724,0.270238,3,1,auth,popular_by_likecount,at://did:plc:7mtqkeetxgxqfyhyi2dnyga2/app.bsky.feed.generator/aaadhh6hwvaca,2026-03-22T14:40:00Z,2026-03-22T14:50:00Z,3,at://did:plc:7qb3vaoodfvunbonpq6kccg2/app.bsky.feed.post/3mhiumi3ooc25,https://bsky.app/profile/did:plc:7qb3vaoodfvunbonpq6kccg2/post/3mhiumi3ooc25,did:plc:7qb3vaoodfvunbonpq6kccg2,greycinder.bsky.social,2026-03-20T15:50:27.942Z,2026-03-20T15:50:30.258Z,2026-03-20T15:51:30Z,at://did:plc:7mtqkeetxgxqfyhyi2dnyga2/app.bsky.feed.generator/aaadhh6hwvaca,popular_by_likecount,Trump Accidentally Reveals What He Really Thinks of MAGA Voters newrepublic.com/article/2078... via @newrepublic.com,0.0,0,2,0.9957,47.075572,46.992238,47.158905
3,pon un gif de tu pokémon favorito.,2,3,3,0.450122,0.666667,0.518376,0.671314,3.0,3,1.0,0.666667,0.666667,12768,0.671314,0.239812,3,1,auth,popular_by_likecount,at://did:plc:qinqxdwwxgme6r4lgmkry5qu/app.bsky.feed.generator/spanish,2026-03-21T16:40:00Z,2026-03-21T16:50:00Z,1,at://did:plc:is5q7ahfhl52yajkzfrujxpt/app.bsky.feed.post/3mhlhxyckzk2d,https://bsky.app/profile/did:plc:is5q7ahfhl52yajkzfrujxpt/post/3mhlhxyckzk2d,did:plc:is5q7ahfhl52yajkzfrujxpt,raulmv.bsky.es,2026-03-21T16:42:14.615Z,2026-03-21T16:42:16.363Z,2026-03-21T16:42:54Z,at://did:plc:qinqxdwwxgme6r4lgmkry5qu/app.bsky.feed.generator/spanish,popular_by_likecount,Pon un gif de tu Pokémon favorito.,0.239812,1,2,0.6273,0.212607,0.129274,0.29594
3,pon un gif de tu pokémon favorito.,2,3,3,0.450122,0.666667,0.518376,0.671314,3.0,3,1.0,0.666667,0.666667,12768,0.671314,0.239812,3,1,auth,popular_by_likecount,at://did:plc:qinqxdwwxgme6r4lgmkry5qu/app.bsky.feed.generator/spanish,2026-03-21T16:40:00Z,2026-03-21T16:50:00Z,2,at://did:plc:jrqc4peftx7u24kjtacexhzd/app.bsky.feed.post/3mhlifpohzc2l,https://bsky.app/profile/did:plc:jrqc4peftx7u24kjtacexhzd/post/3mhlifpohzc2l,did:plc:jrqc4peftx7u24kjtacexhzd,davinidae.eu,2026-03-21T16:49:55.330Z,2026-03-21T16:49:57.265Z,2026-03-21T16:50:31Z,at://did:plc:qinqxdwwxgme6r4lgmkry5qu/app.bsky.feed.generator/spanish,popular_by_likecount,Pon un gif de tu Pokémon favorito.,0.21031,1,2,0.5623,0.084631,0.001297,0.167964
3,pon un gif de tu pokémon favorito.,2,3,3,0.450122,0.666667,0.518376,0.671314,3.0,3,1.0,0.666667,0.666667,12768,0.671314,0.239812,3,1,auth,popular_by_likecount,at://did:plc:qinqxdwwxgme6r4lgmkry5qu/app.bsky.feed.generator/spanish,2026-03-21T16:40:00Z,2026-03-21T16:50:00Z,3,at://did:plc:7yw23qh7siew3g4yvdpztzib/app.bsky.feed.post/3mhktduukn22l,https://bsky.app/profile/did:plc:7yw23qh7siew3g4yvdpztzib/post/3mhktduukn22l,did:plc:7yw23qh7siew3g4yvdpztzib,poetadead.bsky.social,2026-03-21T10:33:05.084Z,2026-03-21T10:33:06.954Z,2026-03-21T10:33:29Z,at://did:plc:qinqxdwwxgme6r4lgmkry5qu/app.bsky.feed.generator/spanish,popular_by_likecount,Pon un gif de tu Pokémon favorito.,0.0,0,2,0.3674,6.365254,6.281921,6.448588
4,x.com/i/status/203...,2,2,2,0.403553,0.5,0.504286,0.620838,2.0,2,1.0,0.5,0.5,20705,0.620838,0.218104,2,1,auth,popular_by_likecount,at://did:plc:qinqxdwwxgme6r4lgmkry5qu/app.bsky.feed.generator/spanish,2026-03-22T20:10:00Z,2026-03-22T20:20:00Z,1,at://did:plc:7drhu6bn5w5s4zcohg5znrov/app.bsky.feed.post/3mhoebzu5ss2m,https://bsky.app/profile/did:plc:7drhu6bn5w5s4zcohg5znrov/post/3mhoebzu5ss2m,did:plc:7drhu6bn5w5s4zcohg5znrov,zoilo59.bsky.social,2026-03-22T20:14:16.032Z,2026-03-22T20:14:27.061Z,2026-03-22T20:14:55Z,at://did:plc:qinqxdwwxgme6r4lgmkry5qu/app.bsky.feed.generator/spanish,popular_by_likecount,x.com/i/status/203...,0.218104,1,2,0.4657,0.17888,0.095547,0.262213
4,x.com/i/status/203...,2,2,2,0.403553,0.5,0.504286,0.620838,2.0,2,1.0,0.5,0.5,20705,0.620838,0.218104,2,1,auth,popular_by_likecount,at://did:plc:qinqxdwwxgme6r4lgmkry5qu/app.bsky.feed.generator/spanish,2026-03-22T20:10:00Z,2026-03-22T20:20:00Z,2,at://did:plc:fxrrbiofnguqms6ahacrb2an/app.bsky.feed.post/3mhoel57pdc24,https://bsky.app/profile/did:plc:fxrrbiofnguqms6ahacrb2an/post/3mhoel57pdc24,did:plc:fxrrbiofnguqms6ahacrb2an,lurpia.bsky.social,2026-03-22T20:19:21.545Z,2026-03-22T20:19:31.157Z,2026-03-22T20:20:25Z,at://did:plc:qinqxdwwxgme6r4lgmkry5qu/app.bsky.feed.generator/spanish,popular_by_likecount,x.com/i/status/203...,0.185449,1,2,0.8974,0.094015,0.010682,0.177349
